,article,createdAt,title,excerpt,content
0,233697286,2020-05-18T03:22:25.416Z,IQ139Mensa 令香港人唔團結嘅劣根性,反送中抗爭直到宜家 香港人一直有一種劣根性，雖然唔係咩大事大非 但希望大家思考下，香港人嘅劣根性在於 我哋好鍾意用一種踩低人哋 抬高自己嘅方式去表現自我，無論保皇 藍絲 左膠 泛民 甚至同路人，我哋成,"['同意 大家一齊加油💪', '香港人做空中飛人就叻😂', 'B2 不如諗下點解會有空中飛人？🙂', '好大隻五毛 B2', 'B4 清晰啲...\n佢係周街同人講佢鍾意奶腳嘅變態五毛', 'B5 識嘅？教教佢好喎', 'B6 識佢老鼠 老是常出現 個名咁易認', '人本來就有唔同嘅諗法，不論踩唔踩人，邊有咁易统一同團結。當然我地會掙扎到最後，力挽狂瀾，但武力同權力永遠係人地到，自然唔會有成功嘅一日。\n重點係點為止成功，大家嘅目標都唔统一。民主？自由？五大訴求？支爆？攬炒？永久一國兩制？真正嘅50年一國兩制高度自治？反共？定香港獨立？\n我地都只睇到眼前嘅野..唯有見步行步，為他朝一日支爆出一分力', 'B8 我認同大家對目標唔清晰係一個問題 民主自由本質上係一個抽象概念 尤其華人社會嘅大多數都無真正體驗過呢種社會模式 所以相反建制推舉嘅止暴制亂 令香港返去送中前嘅景象係有畫面好多 另外的確軍政大權都係人哋手 變相我哋可以操控嘅可能性不大 所以無謂話要foresee好遠件事點發展 而係做好每一個我哋可能做好嘅細節 希望每一個細節帶到香港人去佢哋想要去嘅結果', '雖然唔知樓主話自己mensa係咪都係想抬高自我😂不過樓主講既野係啱既\n鬥黃=/=就會進步 想進步係方法有好多～', 'B10 我以前都會好用IQ呢樣嘢打飛機😂始終人嘅天性係會想覺得自己係特別係比其他人優勝 不過愈大愈覺得都係普通人姐 呢篇文特別帶起 只係想講 就算係Mensa都明白一個人嘅力量係贏唔到社會 贏唔到現實 希望大家都識放下個種傲氣', 'B11 啱啊  入左band 1中/入u之後就會發現周圍個個都好勁 資優既人真係好多 冇咩值得炫耀...... 成日見到有人以為自己好勁 睇唔起人/指指點點 但係其實只係井底蛙 真係反曬白眼 希望香港人可以放低自我 團結d 如果唔係場仗真係好難贏\n（冇做過Mensa test/iq test 不過以前玩過資優program）', '個人覺得所謂既IQ test其實有學過下奧數/邏輯思維就會識玩😂💩 所以其實一個人係咪資優 先天因素只係一部分既影響 後天既培育更加重要（可以參考下 Vygotsky既理論）', 'B13 IQ actually係好偏面咁對智慧嘅度量😂針對logic only 不過對學數理嘢係好有幫助嘅 自己自學Program, 股票分析都超快上手 但我個人就好appreciate d人有language/藝術方面嘅才華', 'B14 我自己比較平均 好似邊方面都表現唔差 但係去唔到突出 週身刀冇張利咁 我反而羨慕d人有自己突出既area可以發展💩（可能因為我去到高中先發現自己資優 之前一直冇咩培育過 所以都唔知自己有咩方面特別突出😂同埋感覺自己都唔係咁「聰明」可能咁啱細個學過半年奧數/純粹評估果日狀態好咁）', 'B15 hmm或者話聰明只係輔助 一件事由興趣去開始練習 再變成習慣先係變成成就嘅關鍵 我自己嘅做法係唔好比自己停留係一個comfort zone太耐 每樣嘢都好多網上resources比你去接觸下 又或者識多d相關行業興趣嘅人 第一步真係試 去搵到岩你自己嘅嘢 我自己個人習慣真係比較悶 我每日routine就去cafe溫書 溫完就gym再返去睇下戲😂每一期就研究一樣新嘢 直到某d範疇 真係覺得有興趣 就go in-depth', '好唔鍾意踩底其他人托高自己嘅觀念\n之前聽過有人講就算一個人得十幾歲\n佢都同我有完全唔同十幾年嘅人生\n\n最基本人同人之間要互相尊重\n識表達真係可以改變好多野好多諗法']"
1,233187150,2020-03-04T03:39:37.060Z,對於未來......好灰......,我屋企好窮 攞cssa，好幸運可以入到u 想靠自己改寫人生，點知現實就係咁殘酷 遇上反送中，我唔會怪手足 因為佢地只係捍衛緊香港 付上太多代價 要怪就怪呢個政權太殘忍......，經濟越黎越差 我呢d,"['只能說\n香港更差既時候都經歷過，而家算得係咩？SARS日日死幾十個、金融風暴日日幾十人跳樓，而家係日日有人被自殺、武肺死。\n如果上年無反送中，今年武肺大家受既打擊仲大。\n唔好將責任推落手足度，係香港人過左太耐安穩日子啫', '咁你嘅規畫係咪諗讀果科做果科先。\n我搵工果陣，見到d工唔係高學歷低經驗，就係低學歷多經驗。\n雖係大學生，但我就搵左份低學歷又唔洗經驗又ok中意嘅做住先，儲吓工作經驗，之後先再諗轉職定轉工', 'B1 我冇賴過落手足 三罷爛炒我都唔會割\n沙士都捱得過 但係當年沙士冇宜家咁大獲 老實講香港已經冇曬優勢一直靠食老本 只係今次反送中+武漢肺炎催化左recession\n五大訴求缺一不可 但係我唔知我有冇資本等到光復既一日', '我既日子一直都唔安穩 上有高堂下有弟妹要等住我grad左養', 'B2 一直都有努力規劃 但係宜家d算盤好似已經亂曬 只可以步步為營 唔知將來點', '你依家先year one, 放心啦！係呢段時間難過啲，遲啲會回復正常嫁啦', '你讀書好叻? 點解有錢exchange😢', '好多野先啱啱開始，yr1真係唔駛太擔心，反而我呢啲yr4就真係擔心😂😂😂\n\n經濟好唔好，如果淨係搵番餐溫飽，相信唔難，唔駛太擔心', '我養ok?', 'B7 唔係啊......過三咁咯\n如果去就要chur爆gpa攞船/借大學exchange loan', 'B6 B8 多謝你地兩個 大家都辛苦 繼續係各方面盡力啦😥 希望你可以搵到待遇好+自己中意既工', 'B10 唉...我就係因為冇錢冇去到exchange\n希望你成功', '唔緊要。你而家先yr1，仲有時間準備自己。我同你一樣是基層家庭出身，我幾年前就想移民。\n我唔知你讀咩科，但我認為每一科都會有機會出去外國。我讀Computer Science，四大chur系。我可以分享下我呢兩年點準備我嘅未來。\n我自己band3學校出身，英文很差，我唯一叻嘅就係理科，數學理科等都有5/**。\n\n～調查移民方法，睇清楚要求先，順便target某D國家。\n～學好英文，因為有D國家移民方式會計IELTS之類，亦都方便第時搵外國intern。\n～寫好cv，我當年入u果陣就已經開始搵一D本地/國際比賽玩，和參加唔同活動，輸在起跑線都要贏係cv。唔單止活動，都要搵intern，寫working experience。（其實我中學已經join很多比賽來寫cv。）\n～試下apply外國intern，無時無刻都要留意，有D大公司好早開始收。\n～keep住每日進修，我明白而家上ZOOM真係會頹左，但真心咪頹走曬時間。我每天都會進修自己，英文同學術上。\n～咪唸住日日去玩，Social，保持基本人際關係就夠。玩多D比賽/做下intern/做義工等等，人際關係自然來。\n～你要轉下心態。就算香港lum左，你都可以搵到食，而家開始裝備好自己啦，你嘅世界唔應該只有香港，世界好大，可以去外國搵工。\n～一定學識理財，草定錢，最好畢業草到8-10萬，分分鐘突然會有機會來。\n\n你問我chur唔chur呢，我會話chur到爆炸，四大chur系出身，仲要搞咁多嘢。但沒辦法，因為我地係基層，所以要比其他人努力。我由中學開始，書簿費所有嘢都係靠自己打工返來，我父母係人渣，借幾廿萬，淨係識當我係ATM，又逼我退學，得閒家暴下我，好想走但走唔到，好彩都有大學宿舍住下。人地家境好，可以專心讀書，我就放學打工凌晨讀書，我基本上放棄左所有上莊玩/洗錢嘅嘢，中學gradtrip/din都沒去，到而家我都冇自己俾錢去旅行過。\n\n因為比人不幸，所以要比人更努力。\n共勉之。', '大家都有唔同難處～\n\n宜家香港呢個情況，大家呢幾年畢業都係難搵工架la~\n\n我覺得我地香港人最叻就係識變通，所有野都係計劃跟不上變化，所以都要諗唔同方法應變，應對!\n\nexchange係未真係咁重要? 目的係咩?\n如果係擴闊視野，你到時搵到工，有存錢去邊度旅行都得架喎～\n\n（我冇打算去exchange）', 'B1 誇張左\nSARS 香港死亡人數都唔過三百\n真係好難日日死幾十人\n嗰時好似持續左四五個月\n金融風暴都無咁勁\n\n經濟就, 嗰段時間樓價下降過,\n依家就樓價無跌咁\n唔知叫好定唔好', 'B13 多謝你 鼓勵左我好多!!!\n我唔係四大chur 系出身 但係我讀專科到實習既時候就係好chur\n我都有努力儲cv 睇下有冇適合既intern （因為我果科同business冇關 所以都比較難搵 都冇咩比賽可以參加 會盡量搵翻同我major相關既intern 或者做多d義工）\n朋友話我都算Chur底既人 不過我其實唔太自律 所以都係靠chur唔同既野塞滿時間表令我hea少d\n當然唔夠你黎啦 我都希望自己可以再chur d自律d....... 宜家睇新聞真係幾灰 除左反送中 又肺炎又亞馬遜又蝗災又雪藻 好多好唔正常好荒謬既事 末日感好強 真係唔知將來點算 或者仲有冇將來.....\n不過 多謝你既分享 不管世界變成點我都會努力的！！！', 'B14 唔係好重要 （我prefer 外國internship多d）不過叫做一個exposure 可以體驗下外國既生活同大學咁 \n如果攞到船/有bursary既話 當係大學俾錢我順便去旅行😂', 'B16 我都覺得好灰，特別知道自己咩都冇果刻，仲要見到隔離同學老豆老母送左層樓俾佢地，真係覺得自己係0。我建議你去問下畢左業嘅師兄師姐拿份cv，睇下可以點砌cv，同埋點搵工，計劃未來，有返D方向感，走少D冤枉路。大學其實好多機會，有時候會有外國intern/義工，我每日都會睇email同埋留意其他同學做緊d咩，我第一份intern都係同學邀請我，有時候去下免費旅行。\n\n其實我都係唔太自律嘅人，只係每次我一唸起以前幾咁絕望，自殺未遂，我就好驚自己而家唔chur就要留係地獄。我其實好繃緊，心理問題都幾大，睇過社工等，中學上堂果陣有時突然喊。但就係因為咁，我先有咁大決心想走，難得冇死到仲考到大學，我會珍惜同努力D。 \n\n加油，讀專科有前途。💪💪', '加油阿！！！！', '加油！！！都可以灰嘅 灰一陣好啦 千祈唔好...灰太耐', '好少事咋wo 唔好將啲咁小既事放到咁大黎睇，會令到自己好大壓力。其實做人得生同死係大事，其他都係not big deal. 唔睇開d，到你真係出黎做野你做兩做就頂唔順。\n\nBtw 我家庭背景同你好似，老豆重要係道友，而家咪一樣過得好好。 其實未來並唔可怕，可怕既係唔夠膽面對未來既人']"
2,233126210,2020-02-23T14:41:28.944Z,政見唔同,自反送中活動開始 就成日見人強調自己係黃 討伐藍絲，身邊都有好多朋友只食黃店 你唔食就係唔撐，中立同藍冇分別，其實你地唔覺得個邏輯怪怪地咩？就好似一啲極端環保人士 你間唔中飲珍珠奶茶用一支飲管都話你害,"['所謂分黃藍，更多時係一種不滿情緒既舒發\nIf you are not in my league then you are my enemy. \nReally? 光復香港唔係批鬥完對家就做到的。', '其實最重要知道自己做緊乜，為乜而做，勿忘初衷\n\n黃藍並唔係一種潮流，亦唔需要專登做畀人睇，明白好多香港人生活上都有掣肘，最重要依然係自己嘅心態、從而行動，有錢出錢、有力出力，\n\n你係淺黃，如果得閒就report下啲藍營fake news、幫家中兩老裝有線/Now新聞，抵制TVB，都係一種付出；\n你係和理非，有時間可以去下合法遊行集會集下氣、冇時間都可以分享下網上文宣；\n你係中產，都可以捐下錢去助養手足、買下飯卷派畀手足；\n深黃/勇武就在心中啦，大家都明白事理自由發揮；\n\n各司其職、各自努力、按自己能力盡做便可', '做自己就ok架啦，洗咩在乎其他人嘅諗法。', '我覺得呢度真係正常好多 同連登比', ""''仲邊會有人想繼續？''\n繼續個運動唔係要做比人睇\n係因為有意義先要做\n大家各有難處有d位做唔盡做唔足可以理解\n但經歷左呢半年咁多人死咁多人傷\n都仲可以'中立'嘅 我都有權唔同你做fd"", '唔洗做比人睇啦 更難嘅係你堅持自己原則\n認真講邊個立場都會話自己係真理\n你認同自己嘅諗法就可以\n我連同人講都費事😂唔好比人三兩句就影響你 你想點做就點做 冇所謂嘅責任', 'B5 呢個運動的確唔係做比人睇\n所以真正有heart嘅人\n唔會日日講比人知自己做左啲咩\n所以我先唔明 點解要係咁質疑自己友？', '同埋真係少咗好多人理性咁講嘢\n郁d就起晒剛好似得罪佢哋咁\n有時真係好反感\n我冇義務接受你哋d脾氣架大佬\n唔好將自己果套放喺人哋度\n啱嘅就會有人去做 逼反而仲唔會去啦', 'B7 你篇文係講政見唔同 我亦都係回應緊呢點\n如果你係話政見一樣只係高唔高調\n咁我都同意你講嘅唔應該成日質疑同路人', '唔使理人哋，過到自己就OK', 'B4 係😹😹見啲人出兩句聲就比人批鬥 我到而家都仲未喺連登留過言', '聽完人地嘅意見思考完再做就得\n上連登勿認真\n香港人 加油💪🏻', '連登有個好唔好嘅風氣, 就係經常立場行先, 一言不合就會比人label你 eg 冷氣軍師, 人血饅頭, 左膠等等, 而唔係從個論點本身去討論。所以上連登講野唔可以玻璃心, 我自己都冇咩上😂\n食唔食黃店就儘自己力啦 一餐半餐食左藍店. 返工搭左地鐵都唔緊要, 對啲大企業而言賺多你幾蚊冇咩分別, 但對個消費者黎講就好大分別,  始終政治唔係一切, 唔同人為左個政治取態可以付出嘅程度唔同, 之前影人食藍店其實係好差嘅行為, 可能人地全日冇食野, 真係得翻30蚊食到個吉野家下午茶呢, 咁都批鬥係令同路人愈黎愈少\n總之最緊要係之後遊行會出黎, 同埋9月投民主派重奪立會控制權', '終於有人講出我心聲😢大家唔同嘅個體自然會有自己嘅睇法 我覺得唔需要逼全世界嘅思想統一化 小小唔啱就玩批鬥 係有heart嘅 無必要好似跟潮流咁做比全世界睇', '原po其實係講緊“討伐立場不同嘅人”有問題\n定係講緊“討伐立場相近嘅人”有問題？\n要知道對於依家嘅香港嚟講其實兩樣嘢\n前者形式上類似國民黨同民進黨嗰種\n(只係真係講緊每日都有人被消失)\n你同深色份子傾真係唔太可能有乜討論空間\n後者可能係連登濫用情緒勒索嘅後遺症\n個個主力都只係想推銷活動/政見\n自然唔想咁多人質疑佢\n當然，如果你只係想遠離政治\n咁你唔上嗰啲網咪得\n利申：前公司同大陸關係密切所以辭咗職', '原來仲有香港人係正正常常\n「非黃即藍」其實都屬政見唔同，然後由於黃派覺得對方唔撐黃而故意排斥又高調，要求強迫對方染黃\n有連帶𧗠生關係下就冇得獨立討論\n質疑同路人嘅強迫行為又有何不可？', '因為有太多五毛狗小粉紅係各個香港社交網站媒體日日咁搞紅色宣傳滲透扮深藍 目的就係想分化香港 幫支共分散仇恨轉移視線 所以大多人代入太多感情 以為以為個個藍絲都係腦殘 跟住兩邊又勢不兩立 惡性循環 搞內鬥 啱曬共匪心意', '其實政見唔同都可以係指政見有少少出入 唔一定係完全唔同架']"
3,233086467,2020-02-16T08:21:40.450Z,在地若天  屬靈爭戰,大家都可能得悉著名於「拆十架」嘅中共官員已經接管港澳事務，香港近來嘅自由逐漸受到剝削，我地基督徒亦隨時面臨逼迫。但感謝主，祢讓我地都覺醒，叫我地看清撒旦嘅詭計，若果冇反送中社運，我地香港人好可能仍然被,"['呢個可唔可以係主比基督徒嘅挑戰？', 'B1 其實係吖 要我地喺黑暗中，絕境中仍然唔靠自己嘅能力，要靠主嘅大能💕']"
4,233009461,2020-02-03T13:38:07.543Z,其實林奠可能係厄災之母至啱⋯⋯,反送中就算啦係人為，豬瘟同肺炎一齊嚟⋯⋯，究竟幾黑仔先會咁？今年不斷有人中招 離世⋯⋯，幾時先可以光復香港⋯⋯，我地要振作，不要忘記昨日，幾辛苦都要捱埋落去，保重身體 先有力氣繼續爭取自由，不要忘記煲,[]
5,232956808,2020-01-25T15:03:50.023Z,除左《榮光》有咩歌可以代表到香港人？,如題，我要拎黎剪反送中戲劇記錄片，唔好比個d好俗既rap歌，例如咩fxxk the popo個d，唔該曬各位,"['人話', '阿李 - 天真', '和你飛', '虛作無聲', '自遊', '願', '煲底之約 山下見', '不屈進行曲', '敗壞嘉年華', '獨家村', '發現號', '紫荊進行曲', '家明']"
6,232953437,2020-01-25T02:06:25.536Z,好想離開香港,自從反送中運動開始，我嘅壓力越黎越大，情緒越黎越起伏不定。有時候會陷入一個焦慮、迷茫嘅狀態。去到依幾日武漢肺炎確診個案持續上升，政府又繼續話之我地死，我真係越黎越怕，戴口罩、勤洗手都有做，但係都好怕會,"['光復香港 時代革命', '一齊加油啦香港人！', '我都係，令人絕望既係屋企人仲好似當沒事發生咁', 'B3 我都好絕望，屋企人出去不戴口罩。當沒事咁🤦\u200d♂️，不注意衞生', '由送中事件到依一刻，對林鄭以至整個港府已經徹底絕望。\n\n成個政府高層都係一班徒有高學歷，靚cv，讀死書既廢柴，每個上位都係靠關係，然後做野就得個樣。明明同等學歷cv，大把人有實幹能力過佢地多多聲，點解就唔揀果班人?\n\n華人社會最迂腐既唔係咩貪污，而係依種「靠關係就可以上位」既文化。其次絕對係填鴨式教育，教左一班只係擅長考試既垃圾出黎。', '身體健康!', '大家記得要帶口罩', '我明 真係好辛苦 唔明點解要生活喺呢個地方 好絕望', '過年日日屋企唔比出門口 話會出事 依家好似坐監咁 \n呢個政府做野無能 搞到我地咁樣 我都好想離開香港', '但要走既 好唔捨得', '軍政府對武漢肺炎嘅處理方法，同我地講光復香港真係好迫切，唔可以放棄:(\n各位注意衛生，祝身體健康。', '離開香港就話難姐\n離開呢個世界會唔會易d呀，支持你呀', '我會企到最後一刻', 'B5 同一時間，都見到好多人挺身而出。', 'B12 你講d 咁ge 野？', 'B4 老母仲話想返大陸探親，我又可以點做', 'B12 做人正面啲！', '我明嘅\n感染人數不斷上升又冇反應\n死都唔肯關 仲要免費叫人落黎\n你話好似澳門派個垃圾口罩都好吖\n至少我都覺得係安慰下我地唔洗驚\n班官員上咗去又冇反應咁\n我知佢地想討價還價\n想我地放棄五大訴求去有更多醫療保障\n但有必要咩？會死人都要咁？\n定佢地覺得全港人大清洗就算', '其實唔緊要 走到咪走囉\n等你。', '仲有一班手足支持你 大家一齊打贏呢場仗!! 好人一生平安 鬥長命 仆街政府黑警一定會早死過我哋!!!', '我都有離開香港既霖法\n阿媽成日叫我儲錢抽居屋\n我就話：我對香港前景唔係咁樂觀，唔想投資咁多落去。\n但移民講就容易，實際上會有好多困難', '9成武漢人都無做錯啦，佢地仲慘。\n過分關注只會更煩，能做的只有保護好自己', 'B19 一早走左啦~', '好早之前已經覺得香港唔適合生活 只適合工作賺錢', '回原pi 先放鬆吧 總有方法走\nB5 好中point啊..利申港大postgrad', '我明你感受 我都試過壓力太大 有把聲真係同你講啲野\n你想搵人傾下我可以陪你 \n你可以搵啲你想做又可以放鬆到心情既事做下\n如果真係離開香港會有好轉 我會鼓勵你出去散下心\n但要好好保重身體🙂', '一齊過台灣啦 儲多兩年錢我都閃', 'B27 要草幾多左右', '那怕中肺炎死我地都唔好怪罷工醫護😢', '好驚就算自己做足 屋企人都會瀨嘢之後野埋我😔 因為佢地唔係好想戴口罩🙄']"
7,232900410,2020-01-16T07:18:39.509Z,依度有冇人過年會返鄉下,呀媽係廣東人，以前會返鄉下拜年，今年完全唔夠膽返去，一嚟係反送中啦 驚返左去返唔到嚟，（可能係我誇張左嘅），二嚟係唔知會唔會惹到肺炎返嚟，你哋點睇,"['應該唔會返唔到黎嘅😂\n不過今年真係唔好返去啦', '咁咪唔好翻翻少一年😂 除非屋企啲長輩好老😅', '我都係！！！早幾年因為父母初一至初三都番工 就冇番\n點知今年2個都放假\n呀媽就要我同呀哥番鄉下⋯⋯', '返鄉下----->去中國', 'B4 咁又點？師兄係香港原居民？😂', 'B5 咁未隨時被消失囉，以前同依家都睇唔少啦，支那不斷打壓異見/逆權人士唔係唔知？\n\n我哋唔係香港原居民，但我住喺香港、喺香港出世未就係香港人囉，美國人夠唔係北美洲原居民啦，台灣人夠唔係台灣原居民啦，共匪當年未又係搶民國啲地，班共匪佢哋係原居民？完全唔明「身份認同」同「係咪原居民」有咩關係。', 'B6 啱呀 我唔否認有異見人士被扣留\n\n咁去中國我又冇否認自己唔係香港人呀，所以鄉下喺內地就唔可以翻？或者係鄉下喺內地就等於承認係中共國人？其實你會唔會諗多咗？你應該搞清番啲概念，請你分番國同族\n\n至於你講身分認同，國既話我可以從來只承認一個中國，就係中華民國。族既話承認係華人。而我既根喺內地就代表我承認中共國？', '主要係驚肺炎\n大陸真係食野都要小心d...\nP.S: 有朋友好黃非勇武成日返去都無事，我估真係唔好俾人點相就無事', '過年一向都唔會翻，但黎緊清明係一個大問題\n如果翻去，應該就會同屋企人重聚了…', '我鄉下喺日本🤣\n唔會返去過年啦\n機票太貴了', '不了\n去咗都唔知會唔會被消失\n再講嗰邊啲人週街踎 做火車頭 好討厭', '我連回鄉證過左期成年都未申請返😂', '政治上 今年你一定比你父母危險 有冇必要冒險 自己諗啦\n公共衛生上 疫症中共會控制言論 疫情幾嚴重根本無從判斷 證實人傳人 實際應該比你想象中更嚴重 有冇必要冒險 自己諗啦\n不過如果你決定要去 又會翻HK\n麻煩你有少少公共衛生意識\n自我隔離一段時間 唔好去鬧市\n出入戴口罩\n你要送中要死 冇人有資格阻你\n但唔好惹埋d病毒翻嚟害人害己']"
8,232509680,2019-11-15T17:07:44.099Z,［集氣眾籌］朋友眾籌緊一部反送中抗爭記錄片,希望大家可以支持下，仲有20日，但距離目標仲有一大段距離，希望可以幫手share更多俾其他人感激萬分，//，紀錄片電影 “2019： 夏日宣言”（The Edge of Liberty） 眾籌計劃正式,[]
9,232352569,2019-10-22T15:23:08.447Z,大家呢幾個月會食咩餐廳？,食黎食去都係果幾間 食之前又要check下食唔食得，不如直接大家分享又黃又好食既餐廳🥺，我先 加藤屋 西九果間 未反送中之前已經成日食,"['屋企同學校附近基本上冇黃店😭...\n我都好耐冇出去食啦', 'B2 我都係，不過會幫襯多啲小店，少幫襯大集團', '小店比較上唔會有咁多藍店\n唔好食連鎖果D\n好中意食M記但宜家不了', '大家樂\n因為夠方便XD', 'M記都唔食得會唔會欺人太甚', '請參考黃藍商店地圖🙋🏻\u200d♀️\nhttps://www.google.com/maps/d/viewer?mid=10SCYSkgC9KMC_kAGtLChlGRLWVbk8NTs&ll=22.371869629957626%2C114.06804799999998&z=10', 'B6 我都覺做多左⋯⋯', 'B8 咩撚野做多左？好想比錢支那賺？', '唔好以為少你一個唔少\n當大家都唔食既時候真係會有好大影響力', 'B9 咁你又唔好咁激動，我覺得因為好多學生都係靠m記廿五蚊餐醫肚，茶餐廳一個lunch都四五十，好難每餐都食咁貴，係個人能力範圍盡力支持黃店就好🙌🏻', 'B9 \n你有錢梗係講得好輕鬆啦\n香港仲有大把人好窮㗎咋\n成日話叫人唔好搭港鐵搭巴士\n港鐵嘅學生價平巴士好多\n大家生活環境唔同冇得逼大家做一模一樣嘅嘢']"
