,article,createdAt,title,excerpt,content
0,233558223,2020-04-26T17:24:14.696Z,能接受另一半的朋友個性嗎,大家好 我需要你們的幫助，我朋友的另一半有一個朋友A，他們三個偶爾會一起打遊戲，但那個A每次打遊戲總是會說一些什麼爸媽死全家啊還是香港反XX的一些字眼，我朋友沒辦法接受另一半為什麼要交這種朋友，也跟他,['通報 📢\n好像有人對這篇文章有新想法唷，快來去看看！\n  https://www.dcard.tw/f/mood/p/233560132']
1,233517956,2020-04-20T20:53:40.820Z,認識香港人，你有後悔嗎？  台灣人還要繼續又傻又笨？ 是時候該醒了， 深度文請慎入！,第一個想請同學們思考的，台灣要重新強大起來還是繼續我就爛？自己認識幾個香港在台灣唸書的學生，行為舉止可說令人討厭到爆。簡單來說就是小眼睛小鼻子，表面捧你背後插你刀的幾乎是每個香港同學都會做的，因為我媽,"['我是臺灣人，我支持香港人\n\n看到這篇的香港朋友，先跟你們道歉\n臺灣還是有些喜歡挑撥離間的人\n希望你們把他們當成臺灣的一部分而不是全部\n很多人不想被這種人代表的！', '唉 就繼續爛吧\nB1', 'B2 你說你。', '就是有你這種天真無邪的小可愛 我們才會背後被人叫台狗 B3', '沒關係 就繼續爛吧B3', 'B1 不是所有台灣人都想被你們覺青代表', '大家自己google 台狗 吧 多難聽的都有 不懂廣東話的截圖給我給你翻譯', '香狗仔超沒品 跟中國人沒兩樣 （噢不對！你們就是中國人）\n我去香港自由行 非常有禮貌的問路 竟然說台灣人有錢來香港？\n拜託！香港超便宜好嗎？當自己英國喔？\n\n真的很討厭聽到今日香港明日台灣 我們有自己政府 軍隊 制度 哪裡跟香港一樣？\n還有 跟港仔站一起的 有點知識好嗎？我們台灣很久以前跟中國就有了 「海峽兩岸共同打擊犯罪及司法互助協議」', '大家請問問自己身邊的港生他們家族到底是什麼時候在香港的，97年以前的香港人會有bno 家裡大概率起碼不是紅衛兵後代 但97年以後到香港的肯定都是大陸的，他們的祖父輩一定都是文革時期的紅衛兵，我自己爺爺親人就是被這些人逼到上吊自殺的，恕我真的不能接受什麼今日香港明日台灣', 'https://megapx-assets.dcard.tw/images/9e770507-dec4-4f61-a4f4-5fef797aa687/full.jpeg\nB1', 'B10\n這個不就是吃人血饅頭那件事嗎\n這是事實啊\n現實和想像中的落差\n有這種情緒很正常吧...\n\n認真講\n台灣人在某些方面真的太天真\n這點比較台港的政論節目就可以看得出來\n政治上香港人其實比台灣人成熟\n\n但是香港人確實優越感比較重\n或許這是他們極度競爭的環境下造成的\n他們平時上班走路都是爭分奪秒\n再加上香港之前經濟比較好\n自然就財大氣粗一點囉', '沒有戰意但是 來台灣的您確定是財大氣粗？ B11', 'B12\n人家公車司機月入都20k\n港幣喔', '同學一定不是社科院的，薪資當然要考慮購買力平價計算方式 簡言之人家吃個滷肉飯也180塊啊 B13', '通報 📢\n好像有人對這篇文章有新想法唷，快來去看看！\n  https://www.dcard.tw/f/mood/p/233521700', 'B0 B8\nTVB是中資，親共的，自然會把中華民國旗碼掉。\nLIGHK連登有很多香港人都很討厭因為裏面有很多很偏激，有很多仇女言論，也有叫外國人叫白皮豬，叫中國人叫支那，但不代表全香港人都這樣。連香港人自己都討厭的網站都能拿來做論據不知道說什麼。\n\n隨便找個陌生人和低質網站就覺得全香港人低質，所以今天如果有個台灣人也這樣那就代表全台灣人都這樣？政治部分我就不討論了，每個人都有不同立場。\n\n不過沒差每個國家每個地方都會有歧視，你們那麼討厭那麼歧視香港就繼續，因為你們歧視香港討厭香港人不代表每個台灣人都像你們，並不影響到香港人對台灣的印象還有因為這樣而和台灣人關係變差。', 'B16 \n1. 低質=素質低？ 香港人？ 有些時候不太懂香港人明明知道寫字要寫書面語卻還是一大堆自己的廣東造字，是不是心裡很自信倉頡都沒你們牛逼？\n\n2. 沒看過tvb對中華民國旗不打馬的的一定就如同我說的，1997年家族才來到香港的大陸新移民？\n\n3. 你就問問自己家人參與過的紅衛兵運動吧，大多數到台灣的長輩親人都不少被逼死的。你先問完告訴我再來一臉自信的屌樣囉，謝謝你。', '3個問題，請給我，Yes or No.\n\n不要東扯白皮豬西抓一個什麼支那，我對於沒有羞恥的香港人看太多了\n\nIts hella simple question, just give me a fucking yes, or no? Thank you.\nB16', '1.怨氣很大幹什麼？有被害妄想症？真抱歉我不會倉頡更不會速成，我用的是筆劃，每個地方都會有自己習慣的用字所以才用，台灣也會有，所以用很正常並不是你想的那麼弱智\n\n2.我有說過tvb不打碼嗎？請你好好看我寫什麼，我說tvb是中資所以一定會幫中華民國旗碼掉。\n\n3.問我家人幹什麼？我家人沒做過還有先不說我家人什麼身份，你讀過香港歷史嗎？紅衞兵文革那些跟香港根本沒有直接關係，知道唯一影響香港只有六七暴動嗎？除了因為受中國影響還有英國人當時壓榨華人、工人受到不公平對待所以十令共產主義滲透才發生六七，但沒有紅衞兵那麼嚴重。香港有不少老人也受過共產黨和紅衞兵逼害，所以請問你紅衞兵和香港有什麼直接關係？\n\n整個文章說什麼我自信？是你太自卑還是我太自信自己沒點數？那麼愛散播民族和仇恨很棒棒嘛，連歷史都沒搞清楚就開嗆？', 'B19\n\n 3個問題，請給我，Yes or No.\n\n不要東扯白皮豬西抓一個什麼支那，我對於沒有羞恥的香港人看太多了\n\nIts hella simple question, just give me a fucking yes, or no? Thank you.', '哦，我要講的已經講了那麼愛嗆那麼恨就繼續當你的鍵盤俠，對於只會聽自己說話的人沒什麼好說', '你講一大堆卻牛頭不搭馬嘴，就三個字又給我搞一大堆', 'B22 所以你是五毛文盲不會看字？要回答我就回答了要怎麼想是你的事，還有跟五毛一樣洗版真的很沒有意思，還是你根本就是五毛？要不要換其他招不然真的很沒意思', '第一，我看一眼就受不了你的瞎扯\n\n第二，你第一次留言用世新名義但沒有說明自己是香港人，直到我抓到低質這個香港用語你才旁敲側擊的又扯一大堆我真的不想看，你是想裝台灣人以假台灣人的基礎跟我討論？這不是你口中的五毛戰術嗎？\n\n第三， 我問你是與不是，你硬要搞一大堆字卻從頭到尾沒正面給出是跟不是？ 用一大串不知所云的字轉移注意力好像就更是五毛的行徑？\n\n第四，倉頡是造字的人我不是refer什麼輸入法，我真的不懂你還跟我扯什麼輸入法一大堆在這個問題上到底有什麼意義？我看了就上火，問你是或不是，你妹的跟我扯你用什麼輸入法？ 到底在幹嘛？\n\n第五，從言詞判斷你就是1997年後回歸後才搬到香港的大陸新移民吧，在2006年以前中華民國旗tvb可是不會打碼喔，\n\n第六，認定你為1997年回歸後才搬到香港的大陸新移民，我就問一句你祖輩父輩是不是紅衛兵？ 那你是不是想藉由來台灣學習洗滌自己身上的血氣？ 你有認知你的祖父輩可是害死很多善良台灣人上一輩的親人的罪行嗎？這個條件下你還跟台灣小孩子談什麼大家一家親大家手牽手什麼狗屁今日香港明日台灣，噁心不噁心？\n\n\n竟然如此，你就是以一個97年到香港的大陸紅衛兵後代來跟台灣小孩子說：來來來，雖然你父輩親人都可能是我爺爺逼害死的，可是我先到香港洗身份再來台灣洗血氣啦，我們都是好朋友。這個基礎不就恰恰印證我所說的真的台灣小孩子太可愛天真單純了的中心論述了嗎？\n\n\n\n我的問題就如此簡單，是，或不是？\n\n\n\n\n\n\nB23', '是？ 或 不是？\n請問看得懂中文字嗎？ B23', '我就是預估到會有97年後才到香港的假香港人來洗，所以我一早就說：三個問題，Y/N。 \n\n你所謂的什麼我打一大串誤導我更希望你先給我三個Y/N\n\n\nB21', '六七十年代之交，中國爆發「文化大革命」，偷渡來港潮有加無減。1974年，政府實施抵壘政策，偷渡者只要能抵達市區，就可申請成為合法居民。\n\n\n第一： \n換而言之，沒有參與文革做紅衛兵的早在70年代後期就已經遷至香港了\n\n第二： \n也就說，從80-97年代逃去香港的是參與過文革的紅衛兵後代的機率應該呈遞增關係\n\n\n所以我說97年後才到香港的基本就是紅衛兵小孩，你祖輩可是殺了我們台灣人祖父輩的殺人兇手，我真的很好奇怎麼還會有台灣小孩跟著你們喜歡裝香港人裝台灣人的大陸紅衛兵後代起哄，可憐哪！', 'B24 \n\n典型不正面回應+ 有邏輯不通就扣帽子\n我可以大膽判定你就是五毛\n而且還是香港的五毛', 'B28 繼續叫', '紅衛兵後代不可恥，可恥的是你想假裝台灣人還不敢承認自己家庭犯罪的歷史哈哈哈 \n\nB29']"
2,233455822,2020-04-11T14:38:17.394Z,分享 香港 檢疫中心的隔離生活,真的很衰，上班接觸到一個確診者，被介定為緊密接觸者，需要入住檢疫中心隔離。今天第一天入住，沒事做超無聊，來分享一下樸實無華的隔離生活。我是入住香港駿洋邨，政府人員事前打來很多通聯絡，有專門的車子來我家,[]
3,233451462,2020-04-10T20:53:34.035Z,因為中國封動森，而跟男友吵架,就在剛剛，我得知中國封了動物森友會後，看到新聞轉貼的微博裡，全部都是在罵台灣香港做出相關舉動的那些人，我很好奇我的中國男友到底怎麼想，到底是直觀覺得中國沒有言論自由的關係，還是覺得根本是製造問題的人的,"['講什麼不想碰政治\n只要生活在這個世界，所有一切就都是政治\n不是官僚才是政治，眾人之事就是政治\n他才是傻逼，被黨洗腦到不會思考', '他在日本不就能玩了嗎？', '他憑什麼要別人不幹那些事？\n誰才是傻逼？\n可悲', 'B1\n我們有投票權，人民有監督政府的權利，所以生活融於政治，政治融於生活\n他們沒有投票權，所以只分黨內跟黨外，黨外的人政治跟他們毫無瓜葛，他們覺得生活跟政治能區隔開來。\n就是因為這樣男友說得出為什麼要把政治帶來遊戲吧\n但他就出生於中國，被環境逼迫，政治無法跟他有所關係\nB2\n是呀能玩，畢竟是自己國家的事，也氣憤吧\nB3\n我也是這麼想的，管人家做什麼事，他們有他們的自由\n他說：我沒有要管他不能做什麼，但也不能管我覺得他們是傻逼', '觀念不同，妳以後會很辛苦喔\n因爲沒辦法想像彼此的價值觀⋯\n天差地遠。\n永遠會有吵不完的架，\n如果這樣都可以吵的話⋯\n\n政治不只是政治喔\n它也是我們的生活象徵\n關心政治\n就是關心自己的國家，\n自己的生活環境，\n自己的生活品質⋯等等之類的\n這是人類社會的根本。', 'B5\n這次他好像是很認真的在吵，吵的比之前都還要兇。\n我一直以為政治是最不該吵的事情，拿出來討論，兩人理解雙方立場。\n他說我一直想要強加想法給他。\n摁...可能是吧，\n價值觀沒有不合，因為其實我本來也不是太關心政治\n但是重新審視的是，我們的未來。\n謝謝妳告訴我妳的想法。', 'B6 \n給你一個建議⋯\n他講什麼妳不要太放在心上😂\n這樣比較不會被他影響情緒\n傷心難過之類的\n\n我有個朋友的朋友曾經也交過一位中國人女友，\n是海外留學生喝過洋墨水，本身身兼多國語言，唸到了博士⋯但從小洗腦太嚴重，\n畢業之後還是堅持回去孝敬祖國🤷🏻\u200d♀️\n之後想當然就分手了，\n因為台灣男友不願意跟她回中國。\n\n如果妳能把他反洗腦成功，\n你的愛就戰勝中共了😂\n這樣想妳可能會開心一點吧\n總之不要不開心了♥️', 'B7\n妳太厲害了😂\n知道我很容易被他影響情緒\n只要一吵架我的情緒就容易被帶跑\n工作學習是不致於，但是靜下心來就是很容易想\n\n我男友也有說過，這邊大學院讀完就會看是要回去中國還是留日本，還有兩年\n雖然他說留日本機會大，但遲早還是會回中國\n事實上，我是不想去中國的，日本我都不想永住了，更何況是中國。\n反洗腦這項工程太困難，我就是想著讓他不要什麼都覺得中國偉大，今天才提出中國封動森這個事情的，但就還是吵架了🤦\u200d♀️', 'B0，我寫的會有點不中聽，但還是希望你願意參考。\n\n我不覺得他想的有什麼特別之處，畢竟那就是他成長耳濡目染得到的價值觀；倒是你，恕我直言，在號稱自由的地方長大，居然還會跟這種內建對人權自由理解扭曲的人交往，這才比較奇怪。\n\n當然啦，人生是你自己的。只是你繼續跟他交往下去的話，你就要一直逼自己在「自由」以及「愛他」之間不停做切割。比方說，你明知道他講的「政治歸政治、xx（在你們現在的案例xx是遊戲）歸xx」是狗屁，但因為你愛他，你就只能在面對他的時候拼命說服自己「啊他只是單純不想管政治啦」，但你還是很清楚知道政治跟生活不可能切開，所以你才會爆氣（還會氣表示你還有理智，👍）。\n\n結論，無論你跟他未來繼續在一起與否，希望你要記得一件事：沒有好的政體無法保障人的自由與人性的善良；反之亦然，沒有勇敢跟誠實的公民也不會有好的國家。\n\n希望你原先自由的價值觀能盡快不需要因為愛情而一直受拉扯。', '其實他的點沒錯 在他的國家因為這樣做會導致遊戲被封殺 所以大家安安靜靜玩 是台灣跟香港人po出這些創作才害他們不能玩\n\n而妳的點是「在台灣做這些事不會怎樣 所以是中國政府的問題」這不就是在把我們國家的想法強加在他國人身上嗎？', 'B9\n首先先謝謝你給我的一些見解。\n以我們自由的國家，對於「中國人人權自由理解扭曲」這件事來看，的確會這麽想，但總覺得不太對。台灣是自由的國度，接受來自各地的人，接納來自各方的意見，跟外國人不一樣的地方，叫做文化差異，為什麼對中國人，就是如此的苛刻呢？\n另外，我不認為跟中國人交往哪裡奇怪了，他有吸引我的地方，我也有吸引他的地方，就這麼簡單。\n\n將來我的確是得「自由」與「愛情」之間做取捨，但有一個方法，也就是兩個人都一起生活在日本，也許兩者都能兼得。雖然未來誰也不知道會發生什麼事，但因為我現在得待在日本，就只能順其自然了。\n不過將來如果他要回上海，我想兩者之前，我選擇「自由」的可能性較大。\n\np.s.我很喜歡你的結論🥰\n\nB10\n是呀，\n我也發現了我當時是真的想把我的想法強加給他。\n他單純的因果關係，被我硬要以政治去做討論，也難怪他會不開心。\n（雖然我仍然覺得這因果關係本身就有牽扯政治🤷\u200d♀️）\n我們兩個冷戰了一天，剛剛互相道歉，已經和好了。', 'B11 你問為什麼號稱自由的國家會對中國苛刻。\n\n首先，自由的前提是不要妨礙他人、反之亦然，如果有人會侵犯我的自由，那我一定要保護我自己。而事實也擺明中國諸多價值觀（ex把政治與生活拖勾）的觀念是會影響到別人的生活的。\n\n舉例說，他不會認為妨礙他言論自由的中華人民共和國有什麼問題，反而是怪港人/台人讓動森染上政治色彩。你回應 B10 說那只是他「單純的因果關係理解」，但實際上，更真實的理由是，那些中國人打不掉中華人民共和國、他們就用「既然你們台灣香港講自由那就應該包容中國」來跟台人港人打泥巴戰狡辯、要台人或是世界上其它人跟他們「妥協」。事實也很清楚，妳如果繼續跟他交往，妳就只能在這些事『放寬心（你看你最後居然還要反省自己是不是太強壓他觀念、要跟他道歉，但妳其實一點也沒錯啊）』，因為要成人改變本來就是幾乎不可能的事。（不可能原因很多我這裡不細寫。）因此，我在歐洲讀書時也遇過中國人的追求，但我沒答應，因為我不想浪費我的人生在成天要跟另一半解釋這種對我來說是呼吸一樣自然的 contrat social/convention。\n\n不過妳的人生是妳自己的，甘苦只有妳自己嚐，別人無從置喙。只是妳現在還在求學，想必很年輕，多留給自己一點空間放空/思考會更好。\n\n祝福妳異鄉生活愉快順心。', 'B12\n可能我之前對於政治本身沒有甚麼接觸跟理解，所以才能接受中國人吧。\n這次的選舉才讓我內心的政治意識抬頭，開始想要去討論政治、反洗腦男友，但是就像妳說的成人改變太難，所以就演變這樣的情況了。\n我曾經遇過一個中國理髮師，他說他討厭維尼，討厭什麼什麼政治人物，也說了韓國瑜多麽不好，小英怎麼樣，他有自己的一套見解，所以我覺得不能把所有的中國人都想成只有與政治脫鉤的人，既使我男友的政治意識真的太淺。\n離開中國，來到日本，我希望他能夠多了解在日本的自由是應該的，而不是被中國打壓只能享受那「中國式的自由」。\n\n謝謝妳的言論，讓我思考了很多！', '同樣爲了這個遊戲跟中國男友吵了一架😂😂\n他覺得要進中國就要遵守中國的規則🤭', 'B15\n我也覺得入境隨俗，所以我才蠻排斥進中國😅\n你是怎麼開始跟他吵的xD', '他怪那些人做那些圖寫那些字害他不能玩\n他為什麼不怪政府要禁止這種人畜無害的遊戲？\n問題在哪很明顯了吧？\n一件事物一個信仰如果她真的好你會隨便聽信別人的三言兩語轉而否定他嗎？\n那中共政府今天會禁止那麼多東西中國人就不覺得奇怪、不合邏輯嗎？']"
4,233423932,2020-04-07T04:08:12.351Z,台灣當紅歌手對台灣認同感？,老實說每次看到香港某些影星對香港這片土地可以不顧一切的去支持會覺得很羨慕，至少他們對自己生活的地方很有認同感，更不用說台灣還是主權獨立的民主國家，說來真的可悲，台灣從來沒看過任何一個比較有影響力的歌手,"['謝和弦', '你說的某些影星在香港其實是少數', 'B2 是少數，但是站出來的至少有代表性，不覺得台灣就是缺少認同感，才會一個代表性人物都沒有', 'B3 就是謝和弦 唯一代表']"
5,233403416,2020-04-03T20:48:22.674Z,0404,看到疫情有慢慢的控制，看到身邊人都沒感染，看到這些消息就忍不住流淚了，很怕身邊人的離去，其實最重要的是團結以及配合，還有想說，沒有一個國家是完美的，我的室友是一個香港人，每天看到他的ig 就是針對zg,[]
6,233362116,2020-03-28T14:01:25.285Z,有沒有ig文字獄的八卦,小弟剛剛滑到香港朋友的ig動態，想說這是啥 點進去看，就無言了...,['這是香港太子站831事件，手持武器胡亂打普通百姓的不是721事件中白衣黑社會，而是所謂的香港警察。不止如此，當時警察把醫護、記者都趕出地鐵，當中有40分鐘無人知道地鐵內發生什麼事，部分港人堅信當晚有人身亡，並以地鐵運走屍體。自此香港再沒有“警察”......\n因為有外國人把影片發布時簡介影片為 警察打武肺患者，因此被ig 評為失實報導。經過網民一番努力，此影片在昨天晚上已經解封了。']
7,233334408,2020-03-24T14:58:28.373Z,跟香港反送中沒什麼兩樣,看這些照片，我還以為是港警與反送中呢，呵。六年過去了，我不會忘記那天晚上，我朋友回來學校，身上貼著紗布，他說，我沒事，所以我能站在這，有事的人都躺在醫院裡，我哭了，我沒有待全程，但我不會忘記那天晚上的,"['我記得行政院那個晚上\n隔天一大早江宜樺下令暴力驅逐學生，進攻攻佔行政院不可取\n\n但國家暴力真是噁心🤮\n法院認證黑箱服貿違法亂紀誤國', '我那時聽一個紀錄片導演說\n他們已經在街頭很久\n每次抗議都沒有人理\n他們也不是太陽花才出現\n而是很久以前就在抗議其他的（至少好像有野草莓？大埔遷村等等\n所以他可以理解有人在體制外發現聲音進不去\n決定進去體制內\n並不是進到體制內就是不好\n如果能做出改變的話並沒有不好\n而不是像國民黨那樣腐敗的話\n我倒覺得還好\n\n有人會覺得觀感不佳什麼的\n所以我想問那些嘲笑太陽花的人，如何改變社會才最好？\n你最厲害就出來啊\n\n而且學運領袖是學運的全部嗎\n你把去參與的人都當什麼\n一看就知道有些人是躲在鍵盤後面譏笑、不敢去面對現場的人', '真的不意外會有人跑來嘲笑插樓啦⋯\n\n做出這種打學生的事情\n\n當戒嚴嗎⋯\n\n所以國民黨才會輸掉總統大選', '如今發生了中美貿易戰與最近的疫情等狀況，要是當時簽了服貿協議恐怕損害只會更嚴重', '值得慶幸的是\n那些當上政治人物的平民，有了發聲的權利\n太陽花在社會中散撥了種子，延續到了大選、2020', '這篇有充台灣價值，太棒了', '林九萬笑而不語，摸奶廷鳥盡弓藏', 'B4你有聽過法國黃背心 美國佔領華爾街運動 英國版的佔中事件嗎？\n這些歐美警察鎮爆的過程中還不是過度使用暴力 \n有人失明 截肢 甚至還有人的頭被警察踩在腳下一邊銬住對方\n這些國家都在戒嚴？還是這些國家都國民黨統治？\n還是你的國際只有台灣 香港 中國？\n等你以後出社會就會知道我們當年參與的太陽花真的一點用都沒有 不要只活在同溫層當中', 'B10 過了啊？！', '民進黨就是這樣在鬧的啊，有學生好辦事，因為學生只知道逢中必反，像馬英九時期核四林義雄在那邊鬧自殺，現在民進黨全面執政怎麼不看他繼續鬧？', '跟著小菸 台灣價值滿滿\n吃香喝辣 雙標精神萬歲', '世界各地的有些警察本來就一樣啊\n天下烏鴉一樣黑\n有至高無上的權力\n還要理被打的那個人痛不痛？\n所以也不太懂那些塑造警察是正義的化身，除暴安良的是什麼心態，好膚淺。\n分別只是\n其他被打的人會反抗\n就只有一些國家的人被打，還說好舒服喔', '補充一下最近知道的事情，現在看到的太陽花領袖們，其實都是整個學運最上層的決策者，而他們進行決策的方式並不是那麼公開透明，也只能算是太陽花學運中的一小部分，像是台大舊社科院的活動等等，都是學運中或許不是媒體焦點，但是卻無比重要且不可或缺的。\n如果硬是把太陽花學運打成賣淫、摸奶、領很多錢的存在，那真的非常膚淺，且不了解何謂公民運動。', '所以我聽到一堆人在歌頌讚美警察\n我就笑笑的\n要不是有司法界的法律人撐著，那些人會知道警權可以擴大到什麼程度嗎？', '我只能說看圖說故事阿\n一張照片各自解讀\n反抗學生做出暴亂行為，員警出棍制止\n英勇事蹟為人稱道', '應該說立意是好的，但卻淪為民進黨的工具', '我建議你在選舉前再po\n\n會比較多人理你', '我324也在\n但跟香港差很多好嗎\n民進黨網軍別鬧了', '哪裡一樣？\n一堆學生違法衝撞立法院\n到處亂搞\n不被制裁才叫沒政府吧？\n背後一堆政治人物在支持操縱\n一堆傻逼學生乖乖當人家的棋子\n被打活該\n\n垃圾文章亂帶風向', '看留言幸好還是有人清醒的，一堆智障覺青進去搞破壞，沒打死要偷笑了：）', 'B3 我把參與的人當傻子\n他們就是群走狗', '當時我高中只記得去參與的不是摸奶就是賣淫\n身邊🈶️同學去參加 其實他在班上根本沒朋友\n但他在現場反而交到很多朋友ㄏ\n然後上大學又遇到炫耀自己參加過太陽花性運動的室友 過大概兩個禮拜吧 我和另外2個室友就受不了他把他當空氣 好險最後他自己搬走了\nhttps://megapx-assets.dcard.tw/images/70a90194-a584-4d11-8a72-a59926a91d64/full.jpeg', 'B24\n好抹黑 你中國來的？', 'B24 你的資訊來源只是最表層最容易被炒作的新聞媒體吧。\n把那1%當成整個太陽花學運了？', '我闖進你家，你叫警察趕我走我再來抗議警察打人，真香', '因為你只是被想參選的騙過去', '可憐阿~斷送了台灣大好前程還沾沾自喜？', '我還是對臺灣警察很信任的，不會因為少數老鼠屎而不對臺灣警察尊敬。\n我想問問，當初立法院要通過礦業法、或是最近很夯的國土規劃法，怎麼沒有學生發起要佔領立法院？因為這是國內事務嗎？如果真的去佔領立法院、做了跟太陽花當時一樣的事情，警察們會被派出來驅離嗎？多年後，這個學運又會被如何記住？']"
8,233293285,2020-03-18T18:16:04.899Z,如果你正在接觸 智富宝博弈,博弈平台長這樣。2月情人節在刷交友軟體，刷到一個香港來的男子，說被隔離安置在台中某地，個資寫上工作內容有攝影 健身 理財，起初聊得很好，對方也很會撩，沒幾天就叫你寶貝老婆，是我自己腦袋撞到不甘寂寞就陷,"['ㄏ', '腳踏實地賺錢不好ㄇ\n看到簡體字的這種軟體就覺得完全不可信', 'ㄏㄏ', '沒有必要這樣酸原po吧 是人都會犯錯啊', '不像港仔的樣子', '（拍拍）以後別傻了知道嗎～\n不過看到這種文章不意外下面有人會酸😂', '我確實不該用這樣的方式獲取錢財\n現在有太多的管道能夠獲利\n不能把他當作賺錢\n分享這裡只是覺得\n如果有人跟我一樣碰到這個平台\n就算有專人帶你\n他有很多方法讓你賠錢\n說服你放錢讓你把錢賺回來\n我相信我不是個案\n因為他有大把時間去找很多人\n我只是其中一位\n我自己也很懊惱做出這樣事', 'B5 照片應該是盜取的\n雖然不能說 會說粵語就是香港人\n我跟他只有電話沒有視訊', '我跟原po也很像🤦🏻\u200d♀️🤦🏻\u200d♀️\n真的超後悔的', '我也被騙過，這些都還算小數目\n只能說這些所謂的博弈都是騙人的\n真的別去信，基本上都是後台自己管理\n我現在是超級後悔的', 'B9  我存的當下就覺得死定了，硬著頭皮繼續跟著做，在最後關頭出包，就是怪自己沒有問清楚遊戲規則，雖然我本來就不奢望我的錢能夠回來\nB10 這個一定是後台操作居多，就算真的讓你贏錢也有各種理由扣下你的錢不出金，錢能解決的事都是小事，我個人經過這次事情，再也不會幹這種把白花花的錢送溫暖出去給人花', 'B11 真的，我自己被騙不少錢，還是腳踏實地好\n現在超多這種，IG FB都一堆假帳號在拉人', 'B12 交友軟體也有了🤦🏻\u200d♀️', 'B13 其實他們就是鑽人性漏洞，只要把持得好都不會被騙，人不輕狂枉少年，被騙一次就夠了😭😭', 'B7 這是詐騙，他就只是推銷而已，照片是不是本人都不知道', '通報 📢\n好像有人對這篇文章有新想法唷，快來去看看！\n  https://www.dcard.tw/f/mood/p/233360019', '通報 📢\n好像有人對這篇文章有新想法唷，快來去看看！\n  https://www.dcard.tw/f/mood/p/233360025', '這種黑網千萬不要相信，我之前因為不懂我直接被騙了5000.....\n覺得自己超傻，後來才知道這種保證的都是騙人的，要投資就要靠自己，我自己後來研究別種項目雖然不多，但是一天可以賺500，一個月我就把被騙的賺回來了', '跟原po遇到一樣的狀況，昨天客服與我聯絡\nhttps://megapx-assets.dcard.tw/images/2e5b4cc1-ed63-48aa-a5d3-1683540de686/640.jpeg', 'B20 我的客服感覺放生我，你看一下信件', 'B19 我現在還在努力償還這個洞...', 'B22 加油 有需要聊聊也可以 心疼你', 'B23  可以問問你也是玩這個嗎？那你後來研究什麼項目賺回來的🥺', 'B24 一樣是黑網，但不是這個....\n我是玩彩票類的（公彩）', '想請教你們有去報案嗎？', 'B26 還沒有但是我們最近有看到香港的新聞，但我還沒有時間發文章出來', '我已經去備案了，要想拿回來，警察說最好被害著都去備案，處理案件會快一些⋯']"
9,233293256,2020-03-18T18:06:08.125Z,老母講老豆壞話,老母係廣東人 老豆係香港人，最近老豆唔喺屋企 老母就同佢鄉下啲八婆講我老豆壞話 詳細就唔多講 大概係我受傷 件事我老豆老母都有錯 但老母淨係話老豆點點點 我喺間房度聽到覺得佢好八婆 btw唔係第一次 ,['耳唔聽為清']
