,article,createdAt,title,excerpt,content
0,231512932,2019-06-17T03:09:53.695Z,如果NCC可以獲准凱達格蘭民主聖戰新聞台的成立開台，我覺得那才是真正超越民視及新唐人~,如果當時民視沒有換掉郭倍宏，喊維持現狀卻不肯獨立的辣台妹就不會初選成功，因為政經看民視也沒停播...，如果沒有韓冰的弟弟-韓天藍叫台、韓森黃腔台、TVBULLSXXT的喜韓兒新聞，或許不會有人憤怒反送支新聞偏頗吧！,"['不可能啦，菜菜子允許這種宣揚台獨意識的電視台成立，是要拿石頭砸自己腳喔', 'B1 很抱歉就算蔡英文不成立，我們自己也能成立，但要看有沒有人要加入募資，否則會不如彭P的政經傳媒那樣受到踴躍的募資', '你就算募到錢也要過NCC那關，而且還要防菜菜子伸手去電台高層，不然你以為彭P是怎麼被關台的', 'B3 彭P被關節目的最主要原因是怕車輪黨重新執政，不論是喜韓兒或噁爛胎郭都一樣，而且辣台妹和花媽都認為他是車輪黨最佳助選員！不然1124怎麼被打敗的？']"
1,231512898,2019-06-17T03:02:15.144Z,民進黨的美好跟善良都回來了,民進黨執政一切美好跟善良都回來了！公投大敗就想忽視專家的意見改回來，打算修法把公投關回籠，我們林飛帆假裝看不見，黃國昌不罵， 過去支持林義雄公投法補正都是唬爛民眾？，現在跑去聲援香港反送中？坐等民進黨惡修公投法，大家果然都去圍觀反送中了，就沒人注意？難道是 民主與自由也會因距離產生美感 嗎？,"['真是太可惡了 應該學學原po 鍵盤參加', '不是，我們看，不過去?\n以前，我們，看不過去。', '支持原po號召大家上街抗議！！\n萬人聲援1人到場！！', '韓粉買帳來了嗎', '買帳?給我450我創一個臺大 公衛系', '林飛帆還在哦？我以為他已經銷聲匿跡了剩黃國昌耶', '還在啊，陳為廷最近也才出來而已', 'B7 襲胸的那個陳為廷？\n噁', '呃\n不支持公投修惡\n但用距離來比較是什麼概念\n還有安定力量是什麼鬼\n不就是孫繼正在那邊造謠的那個嗎 ^_^', 'b8\n是他，摸奶說真的也被處罰', '關心811公里的香港卻不關心幾百公尺的立法院', '睽違以久的大腸花又要再度合體了嗎', '大腸花2.0啟動', '午安打火熊', '公投法很需要被修阿\n像去年把人權拿出來公投那算什麼？\n完全是浪費社會資源\n安定力量這種只想收割反同票的黨\n大概很想要下次再提一個公投案\n叫做「你是否同意同性不可結婚」，繼續打壓同志製造對立吧？', '如果變成得，那是不是就可以藉由政黨通過對同志更慘的法律', 'B16 我看不懂你在說什麼耶\n其實通篇我都不知道你想表達什麼\n如果說公投法有修的必要\n大家幹嘛特別去阻擋？顯然只有某些人不希望修法而已\n打壓同志的就國民黨和安定力量阿\n民進黨哪會通過對同志更慘的法條，傻眼', '民進黨難說，那如果下任是國民黨呢？', '什麼東西難說？\n同婚法就是民進黨推過的啊\n國民黨有什麼好說的？賴士葆說如果國民黨執政要全部改回來耶\n國民黨執政同志處境絕對不會變好好嗎？', '你忘了辜寬敏所代表的長老教會嗎？尤美女怎樣被對待還沒忘吧', '那又怎樣？幾個人反對等於整個黨都反對嗎？\n同婚法還是由民進黨推過了阿，扯這個的邏輯是什麼？\n國民黨支持同婚法的立委還要被黨內清算耶\n就這個議題上，國民黨很明顯整個黨都站在反同那邊\n安定力量甚至都能到韓總的造勢現場宣傳呢！', '才說民進黨難說\n但如果這條法給國民黨', '好啦 KMT加油加油\n同性結合法好棒棒，好尊重同志zzz', '不是國民黨好棒棒，而是如果下任變成國民黨\n按照公投法會變成如何', '我想看韓國瑜的']"
2,231512791,2019-06-17T02:34:58.834Z,我們還可以做什麼,最近國際新聞鬧的大的其中之一就是反送中，有關於反送中我真的必須要說，我是台灣人，我支持反送中，我的女朋友是香港人，現在她的國家發生了這麼大的事，我絕不會修手旁觀，除了填寫連署書之外，我也常常在想還有什麼方法可以幫助香港度過這個難關，但是我常常因為不知道該怎麼做而覺得難過，心想明明香港現在面臨這麼大的事，我卻在台灣除了連署書什麼事都不能做，就會覺得說自己為什麼這麼廢，有時候也曾想過說飛去香港幫助他們（因為課業關係所以台灣遊行都沒法去），但是我真的很想幫助他們，最近幾天為了這個都睡不好，一直希望可以替他們做點什麼，有人可以幫我想出什麼辦法幫助香港的嗎？如果有我真的很感謝他/她,['B0\n中華人民共和國香港特別行政區\n\n小心一點，偷吃別被發現\n不然你女友把你宰了跑回香港就沒事了']
3,231512760,2019-06-17T02:28:42.397Z,"中X時報真是條漢子,跪著的那種",香港抗議遊行不止針對逃犯引渡，還有反送中跟司法干預阿，怎遇到中國爸爸就不敢用『反送中』字眼？根本呵呵,"['OK', '呃..因為那本來就不叫送中條例', '哈哈 此文搞笑\n「反送中」就是被吵出來的～', 'B3 吵出來嗎？ 好像也不是\n送中過了差不多就是要送終了\n中國根本沒有法律可言\n今天你在香港政牽扯利益問題\n官員隨便都可以給你一條把你往中國送', '可悲 \n‘反送中’是個口號 真正要修法的是逃犯條例\n又是一個看懶人包後出來亂的😑', 'B4 好好笑的邏輯😂純粹只是反中觀念\n那怎麼不說美國跟加拿大好恐怖？完全沒有法律可言？想引渡孟xx就引渡？', 'B6 中國司法有多少黑歷史？\n穿件衣服上街都能被灌＂煽動顛覆國家政權＂\n這次遊行 警察打人的影片照片中國全都找不到\n跟北韓有什麼差別？ㄎㄎ']"
4,231512618,2019-06-17T01:47:15.931Z,#HK 反送中 每個人都這樣想嗎,這難道是為罪犯發聲人權的世界嗎？那些逃稅犯，殺人犯，政治犯難道不該死好死透？還是說我們擔心不知道哪一天被當成「政治犯」然後不知不覺的消失嗎，拜託如果說罵一句中共就會被拉去槍決，誰去負責底層勞動力阿，子彈夠不夠用啦,"['为了民主，这些都是应该做的。那些中国的走狗不值得同情\n\n下一步应该攻打解放军驻港部队总部，戳瞎解放军眼睛，打断解放军手脚，彻底推翻中国统治！', '中國定義的罪犯可能跟你不太一樣唷', '再次證明媒體識讀的重要性\n第一警察受傷是6月9的事情\n第二有影片證實，是警察打到警察受傷的\n第三直播的新聞完全沒看過示威者丟有尖頭的鐵柱，更諻論當場把鐵柱磨尖的時間\n第四6月11示威日前各地鐵站搜身已經嚴厲，你認為於示威當日能帶這麼誇張的武器還能不被發現的？邏輯死掉了？\n第五示威者真的有丟時全世界各大電視台跟報章還不聚焦在丟的人身上嗎？\n假新聞也敢拿來講\n我也是醉了\n\n另外作為媒體專業的學生\n先不論立場\n真心認為事實很重要\n\n示威者當日有在對警察中間丟鐵馬作分隔\n那是少數有稍微攻擊力的東西\n但他們沒往警察丟\n大部份都只丟到中間位\n除了警察開了第一槍之後的衝擊開始', '樓上正解', 'B3 \n第二個哪裡有影片呀？\n\n第一6/9所以呢？不也是被反送中攻擊的?\n\n民眾丟磚頭的呢？', '對啊 聽說一天可以拿人民幣一百\n哇 哪個外國勢力這麼有錢\n一天支出新台幣五千萬啊？\n這還只是十萬人的薪水哦\n\n還有香港政府這麼在乎被害者的權利 卻拒絕和台灣簽署司法互助協議？', 'B6 \n欸?哪裡有說香港拒絕?\n連結給一下', 'https://youtu.be/qFgE2Ardv64\n讲什么鬼话，警察打伤警察？？', 'B5 你聽的懂廣東話嗎？\nhttps://streamable.com/ei60d\n\n打到的時候有人喊你干嘛打自己人\n只是香港警察否認\n\n另外有片證明香港警察很喜歡誣賴別人\nhttps://youtu.be/jvtqxLX3TqU\n不要弄我後面\n但他後面只有他同袍\nhttps://youtu.be/m4428bug-NI\n另一個角度證明\n\n警察說的話可信程度有多大自行判斷\n\n丟磚頭同樣道理\n有人丟為什麼各大報章沒照片？\n不可能吧\n現場的磚頭也是拿來弄成圍牆而已\n警察想丟磚頭的反而有照片證實哦', 'B8 你這個是之前過年的魚蛋暴動的影片\n跟這次6月9 6月12 6月16的反逃犯引渡條例集會示威均無關係\n怎麼拿來討論？\n邏輯跟腦袋很重要\n請多思考\n多證實\n多注意', 'B9 \nㄜ就一句話?能證明?\n\n而且\n現場不是也很多抗議者在講\n類似你們(警察)也是香港人為什麼這樣之類的話?\n\n兩件是獨立事件也能扯在一起???', 'B11 警方也只是空口說白話\n沒有事實證明\n而香港警察誣陷市民\n或示威者的影片則有幾則很流傳\n你可以選擇相信警察的話\n但不能證明時你拿出來當例子\n自然我也可以拿出來當例子\n再加上香港警察的各種事蹟\n警察同袍真被示威者打傷他們當下哪會這麼忍氣吞聲的離去就算了？\n而且6月9當日一個以襲警罪起訴的示威者都沒有\n你覺得多能相信他們的話？\n多思考。\n\n至於講你們警察也是香港人\n是因為很多人心痛警察是政治犧牲品\n有不少人遇到好的警察\n至少在被捕前沒被攻擊\n但還是有老鼠屎以暴力洩憤\n再加上有些警察連委任證都拿不出來\n香港法例規定市民有權要求警察出示委任證\n你要香港人怎麼去接受？', 'B12 \nhttps://youtu.be/5goe-9GqNFI\n誣衊?', 'B10 https://www.facebook.com/501063676979815/posts/711735219245992/?app=fbl\n来来来，打没打，砖头标枪', 'B13 丟磚呢？\n丟尖鐵柱呢？\n躺在那邊的警察是吸入了催淚氣體\n連full gear的警方都這樣了\n沒專業裝備的市民是多好受呢？\n\n影片中大部份都是把催淚彈丟回去的特寫而已\n如果警察投放不是暴力\n為什麼對著full gear的警察投回去算是暴力呢', 'B14 好\n抱歉\n有一個人丟了疑似磚頭的一次\n其他都是塑膠瓶跟塑膠袋\n還有工地用安全帽\n那鐵柱呢', 'B16 \n0:23\n\n還有工地安全帽砸到不會受傷?\n\n最後承擔的是什麼人?\n奉公守法，兢兢業業的人\n\n當你們在保護犯人的自由民主\n我在捍衛受害人的公平正義', 'B17 你給我全套警察的鎮暴裝備跟催淚彈\n還有橡膠子彈槍\n我向你投催淚彈跟射橡膠子彈\n你向我投工地用安全帽\n這樣好不好？', 'B18 \n\n不犯法，警察會使用催淚彈?使用橡膠子彈?\n\n都大學生了~別只會說別人錯。\n申請合法集會遊行，不做暴力投擲鐵棒，磚頭等物\n\n警察會這樣嗎？\n\nhttps://youtu.be/1QHu8dLbWpQ\n\nhttps://youtu.be/6jifoQgcz8M\n行頭都比香港示威者少吧？\n也對~覺青壓根不會知道\nhttps://news.ltn.com.tw/news/world/breakingnews/2473270\n基本全抓，法治國家呀~', 'B19 引發衝擊的\n是警方開的第一槍\n去看一下之前的直播全片好不？\n算我求你了\n看完整段直播再來討論\n明天的期末很多中文字詞要背\n我沒空回你們了\n求你們去看直播回顧\n看直播回顧\n看直播回顧\n香港icable的或是now的隨便你們兩個挑一個\n我去準備我的期末了\n看完請自己思考\n還有不要拿民眾槍械合法的國家鎮暴方式對比\n因為香港人沒辦法正常途徑弄出軍火的', 'B20 \n引發警察開""槍""???\n不就是非法集會嗎???\n\n怎麼腳底抹油囉？笑。', 'B21 非法集會的話哪用等到下午？\n一早就給你清場了\n你以為香港交通不繁忙？', 'B18 你要记住，这是大批人在游行，不是单对单打架。里面混合着各种各样的人，一旦有暴力行为发生，作为警察，你想象不到后面会发生什么。会不会引起骚动？会不会引发踩踏？会不会演变成打砸抢烧？你都不知道。\n警察需要做的是什么，控制秩序，清场。单靠普通喊话能让暴力行为终止么？单靠盾牌能阻止暴力行为么？警察不驱散等着事情脱离控制？这才是警察的失职。\n驱散过程中肯定会引发伤害，罪魁祸首是谁？不是警察，是那些在游行中首先使用暴力的人。\n而且使用橡胶弹，催泪瓦斯，橡胶棒本来就是国际通用的标准，你看国外游行驱散的时候警察是不是也使用这些武器？不能双标吧', '這種議題都不能看參與者可憐與否，暴力與否，\n遊行抗爭無法限制參與者，\n另一方派人故意亂打警察就能模糊議題本身。', 'B22 \n\n不是要準備期末考?\n\n警方不用顧及到有多少人嗎？\n所以你的意思是警察應該早上就清場哦？\n我也是這樣覺得', 'B23 如果所有人都和你一樣理智思考，至少就不會有那麼多被帶節奏的了', 'B23 \n政府不發言，要警察清場\n國外市民可佩槍，警察裝備國際標準\n香港市民丟磚頭，警察布袋槍瞄頭\n\n你的標準在此👏👏 沒有雙標\n\n罪魁禍首是誰，我怕只有你不知道，你去問問誰要立法\n\n題外話，簡體字我沒學過，不太會看，幸好我們有Google translate', 'B27 這樣規模的遊行你猜美國警察會怎樣做？']"
5,231512386,2019-06-17T00:22:21.125Z,更: 台灣眾人平安！-反送中最新情況！港警十面圍城！,更，因為看到Carey 回國了，想其他人應該都安全了吧！祝大家期末考順利！願自由之心與你同在！，----，微更：b3，------，希望各位看到這篇可以到ig幫忙轉發限動，或分享三立直播啊！，讓所有台灣勇士可以回家、香港人民可保平安！,"['三立的直播youtube看不到欸!!!\n好擔心她的安危', 'b1 有可能是現場訊號干擾！', 'https://i.imgur.com/7rqbfJO.jpg\n暫時安全了(@carey011677)', '中夭：反送中學生佔據馬路喝酒慶祝', 'https://www.youtube.com/watch?v=GX3kWCxJvc0', 'https://i.imgur.com/LrfWLJc.jpg\nhttps://i.imgur.com/jZTstJe.jpg', 'https://youtu.be/SG23TIb-pUo', '台灣撐香港！！！！！！\nhttps://youtu.be/-Sg2-L5G40I', '其實香港的事情跟你跟我都有關係……\nhttps://youtu.be/6AJvnRSbbSM', 'B8 \n\n影片顯示一堆人不知道實際內容\n\n當你們在保護殺人犯的民眾自由\n我在捍衛受害人的公平正義', 'B10 殺人犯的民眾？？', 'B11 \n你不犯法修這法干你什麼事?\n\n看看37條有什麼好嗎？\n再者還是需要經過法院\n(這些大部分人都不知道吧…)', 'B11 \n民眾?暴民?\nhttps://youtu.be/GX3kWCxJvc0', 'B12 修這法干你屁事？你認真嗎\n不管國籍只要經過香港都可以把你抓去中國\n\n你知道罵過習的台灣人都有可能被逮捕嗎', 'B15 \n看看37條再來\n\n而且證據都要先給香港法院看過', 'B16 我問你 中國要人香港會不放嗎', 'B17 \n為什麼一定會呢？', '他媽誰知道\n香港的司法體制\n已經被排進去多少自己人囉\n香港人自己都不怎麼信任了\n你還真是信任他們呢\n\n這東西修下去，只會讓中國更方便掐死那些人而已', 'B18 \n在我們台灣法律可以拿來真的適用，\n在大陸，法律只能當參考用。', 'B20 \n笑~']"
6,231512372,2019-06-17T00:13:21.503Z,昨日台灣  今日香港  只是台灣選民健忘,這是一則反送中之前的台灣引渡案，是自由時報撰文，在蔡政府完全執政期間，她根本保護不了台灣，如果問我那誰能保護台灣？我只能說事實證明，蔡不能，更：本案罪犯已於2019/6/7由西班牙遣送中國大陸,"['當你們在保護犯人的自由民主\n我在捍衛受害人的公平正義', 'B1 臺灣人民犯罪應該由臺灣審理  有錯嗎\n但在蔡政府執政下也做不到', 'B2 \n\n受害人大多在大陸\n而且大陸才有證據等等\n\n再者你忘記之前\n國昌老師做的嗎？\n馬英九被幹繳，結果人引渡回台灣沒多久就放了\n\n想想看為什麼黃國昌不敢再搞這種東西吧~', '民進黨和時代力量  雙重標準不意外\nhttps://i.imgur.com/Z7i7MmV.jpg', 'B5 \nㄜ你在公三小?\n\n馬英九任內不就把人引渡回台了?\n\n中華民國已經是獨立國家囉~', 'B6 我的錯😂😂', 'B7 \n\n刪文吧~']"
7,231512296,2019-06-16T23:22:05.862Z,為什麼台灣要支持香港反送中？,送中條款出發點是因為 前陣子香港情侶來台旅遊，結果男的在台灣殺死了懷孕女友，再棄屍在台北，逃回香港，結果台港沒因為有條款，殺人兇手就逍遙法外的沒事 依然大搖大擺，所以才會有送回中國審判這件事，反送中？🤔 所以以後在台灣買兇很簡單，雇用港人來台殺人在返港，兇手完全沒事，死的人是你家台灣的事,"['因為有人跳出來刷一波台灣價值觀來賺選票了\nhttps://i.imgur.com/V0ydSFV.jpg\nhttps://i.imgur.com/ytFHXOs.jpg', 'B1 然後港人還要拖硬要台灣下水\n每次一有事就說今日香港明日台灣\n我看了都很火 明你ㄇㄉ勒 台灣是台灣 中國乾我屁事！', '拜託了解內容再來發言好嗎', '因為你不查資料，網路隨便找都一堆資訊告訴你為什麼\n\nhttps://youtu.be/JXeaIZuNj20', '2020請大家支持蔡英文！\nhttps://www.dcard.tw/f/trending/p/231505758?ref=ios', 'B3 B4 事實就是有人殺人不需償命才有這個條款阿 所以一條人命白白送死\n你們很樂見嗎？\n\n整天拿淺潛在危機恐嚇大眾這件是好事嗎🤔\n乾脆擔心明天世界末日好了', 'B6 影片裡面有幫你解答了，不要連別人給你資訊都不了解就開噴，很丟臉', '好佩服 這裡真的是大學生版嗎  到底有沒有在讀書  在發這種文。\n比市井小民還不如', 'B7 老實講，我覺得整天看懶人包才丟臉\n不用點開就知道裡面瘋狂刷了一波恐共\n在Fb上貼過小熊維尼什麼的，過境香港「可能」、「或許」就要被捕', 'B7 我沒開噴吧，我只是就我對此事想法表達意見 不行？\n懶人包治國實在是很敗筆 那你官校要不要也懶人包三分鐘就畢業拿到畢業證書了\n死了人是事實 這件事你說 不送中那要怎麼處理呢？', 'B9  專業回歸專業\n修例可以 照專業的來\n https://www.hkba.org/sites/default/files/%E9%A6%99%E6%B8%AF%E5%A4%A7%E5%BE%8B%E5%B8%AB%E5%85%AC%E6%9C%83%E9%87%9D%E5%B0%8D%E3%80%8A2019%20%E5%B9%B4%E9%80%83%E7%8A%AF%E5%8F%8A%E5%88%91%E4%BA%8B%E4%BA%8B%E5%AE%9C%E7%9B%B8%E4%BA%92%E6%B3%95%E5%BE%8B%E5%8D%94%E5%8A%A9%E6%B3%95%E4%BE%8B%28%E4%BF%AE%E8%A8%82%29%E6%A2%9D%E4%BE%8B%E8%8D%89%E6%A1%88%E3%80%8B%E7%9A%84%E8%A3%9C%E5%85%85%E6%84%8F%E8%A6%8B%E6%9B%B8.pdf', 'B9 B10\n兩位來搞笑？傳懶人包上來等於我我只看懶人包？\n原po 什麼資訊都沒有就po文，說是自己的想法，那原po 是不是只活在自己的幻想世界？想一想畢業證述就拿到了\n\n懶人包只是讓人初步了解，在最短時間了解大致狀況，詳細部分要再自己深入找資料，這概念都不懂？\n\n還是你們的世界覺得懶人包就是全世界？\n不要丟臉了', 'B11 可以啊，我支持香港支持正反兩面的律師法官出來辯論\n比雙方一堆網民講些垃圾話好多了', 'B12 你回答了問題嗎？ 香港女孩人命一條 你說要怎麼處理？\n\n我什麼資訊都沒有？我首文說的清清清清楚楚吧？你視而不見不是我沒講\n\n那你丟了個懶人包就代表你的資訊是很正確嗎？內容就是恐嚇大眾的影片 這可信？\n我覺得丟臉的是你 而且你丟了官校的臉 跟我認知內剛正不阿的軍官有很大差別', '不要這麼膚淺好嗎 只看到表面', '原po加油 多多加油 \n我是希望你能進步的意思', 'https://youtu.be/Z9xh7ZThVuM\n這可能可以讓你更了解到為什麼會反送中。', 'B14 台灣要跟香港政府簽司法互助協議，是香港政府拒絕\n反而改修逃犯條例 到底真正的用意是什麼呢？', 'B18 香港拒絕也是必然的 因為香港是中國的 在中國認知內 台港都是中國的 他當然不可能讓所謂自己人去簽訂等於兩個不同國家的合作協議\n\n就算香港要簽 中國也不會同意\n\n而且香港本來就還在中國轄下 並非香港想做什麼就能決定\n\n簽了就打臉自己（中國）承認台獨\n所以香港也只能送回中國審一途', 'B19 中國政府也有跟台灣簽司法互助協議好嗎⋯\n難道他就認為台灣是國家了？', 'B19 您是不是不知道香港有司法獨立權？', 'B20 那是透過金門協議 非官方組織簽訂的 講白話就是他隨時可翻帳 因為非官方\n換個角度想 香港罪犯要送中國 跟台灣 會選哪一個？ 中國司法嚴厲 當然是會送中國 而且是自己轄下\n\nB21 嗯很好 香港司法獨立 所以香港男殺死女友 只被判了竊盜罪入監 而不是殺人償命 這就是為什麼要送中\n\n香港司法是附屬在人大釋法下面\n您確定是司法獨立？', 'B22  請問你在跳針什麼？\n你的問題 B18 已經回答你了\n如果你真的在乎這條人命\n那更應該反送中，然後請香港和台灣簽協議', 'B22 香港罪犯就該引渡回犯罪地或者自己的政府轄區受審\n一個在台灣犯罪的香港人卻去中國受審 完全不合理\n而且如果照你所說 香港政府如此「正義」為何要翻帳不遵守協議？', 'B23 這次香港欲修改逃犯條例\n你確定選項只有送中嗎？沒有送中送澳送台這選項？', 'B25 然後有爭議的就只有送中部分\n請問你為什麼那麼堅持讓這有爭議的法案通過？而不支持台港單獨簽署？', 'B20\n这个本来就是在一个中国的框架之内签订的,\n不然你看和国外签订的文件叫做什么.', 'B27 你自己好好看一下我說什麼\n再看看你回什麼', '原po加油，等哪天反送中真的通過了，你或你家人親朋好友就不要去香港被突然消失再來後悔，呵呵。']"
8,231512288,2019-06-16T23:16:57.843Z,有人可以告訴我他們嗑了什麼嗎？,不管嗑了什麼都請給我來一點，我一向支持社運上街，因為這代表一部分族群的聲音，但我也一向支持要替行為負責，請問香港，你們做好承擔的準備了嗎？也請問香港不支持反送中的人們，你們做好一併承擔的準備了嗎？,"['有連結嗎', '其實也就是認清事實而已\n事實就是香港現在是中國的\n而抗議遊行短時間可以很多人\n但終歸人民要顧生活\n時間拖長不管香港人還是國際輿論\n都不可能再有這麼強的關注力道\n中國非常清楚這點\n所以採取的就是先拖沿再趁機偷渡\n因此對於香港人只有趁機脫離中國這個選擇\n支持香港獨立\n唯有獨立才能救香港', 'B1 google香港廣場立憲就有了\n目前我知道的是有這種聲音，在台灣也真假難辯\n只是群眾上街憤怒當頭，這火一點很恐怖啊', 'https://www.dcard.tw/f/trending/p/231494224?ref=android', '中國又不是吃素的 會這樣放縱嗎？', '第二波六四要出來囉\n看看藍腦的老人會不會醒', 'B6 不會\n\n他們覺得國民黨是好人，覺得黨辛苦了\n\n還覺得香港動亂是民進黨造成的']"
9,231511729,2019-06-16T18:18:32.670Z,如果說有什麼可以分開反送中的人潮,為救護車開道好可愛，好像黑海分開！，我認識的香港朋友今天幾乎遊行去了，希望接下來官民平安，「在壓迫面前，我們一步不讓。在生命面前，我們為你開路。」,"['如果講的是摩西分海這個典故 分的是紅海喔', 'B1 她的意思應該就是黑海，因為昨天的遊行大家都穿上黑色上衣去悼念黃色雨衣先生。（R.I.P.）', 'B2 原來是這樣呀 是我誤會了不好意思', 'B1 對我知道摩西分紅海 哈哈哈 但因為這些人穿黑色\nB2 對的！你懂我的比喻哈哈哈', 'B4 I got you(｢`･ω･)｢', '大家還是很理性的讓救護車先過！\n\n香港加油']"
