,title,date,content
0,[黑特] 香港議題上阿北小英政績都+1,6/24,"[': 加起來~~~', ': 關心但不介入，嘔嘔嘔', ': 可是港仔直接嗆師傅耶', ': 小英也被港生說人血饅頭', ': 三樓可能不知道，嗆蔡皇的可是更多而且直接上議會…', ': 自己去搜“蔡英文感謝你”', ': 那個是香港議員拿蔡英文嗆林鄭吧', ': +11111', ': 是阿！酸度爆錶，而且你不能說他舔中…他還被抓了', ': 人家腦子可清楚的…看的明明白白']"
1,[黑特] 香港民主派初選投票7/11~7/12開跑,6/23,[': 第二三張的衣服 是不是有點透呀']
2,Re: [新聞] 重建香港 林榮基：台灣目前是最適合地點,6/22,"[': 港仔也不是人人有錢住得起英國 應該學流亡圖博人 選擇', ': 印度更適合']"
3,[新聞] 重建香港 林榮基：台灣目前是最適合地點,6/22,"[': 這是那個超人第一集的劇情嗎XD', ': 其實這樣搞不錯啊 高雄直接變特區 完全複製香港制度', ': 哪裡母湯，還有一群人重建了重慶長春吉林桂林錦州路路咧', ': 香港說實話 能融合港人 可能發展的更好', ': *高雄說實話', ': 二樓所以國民黨支持度剩下多少，你要港仔跟狗黨一樣臭?', ': 而不是Chenglap這種能當朋友、自立自強的港人?', ': 高雄有個地區全是察哈爾街吉林街熱河街，整個完全複製三', ': 小的', ': 拜託別鬧', ': @MVP  我真心覺得給港人看看高雄歷史，他們得少當伸手牌', ': 結果高雄被複製中國省名的那個三民區西區反而是三民區最', ': 綠的地方XD', ': 三民區還是基進黨的巢穴XDDDDDDDDD', ': 港仔至少要學高雄人回瞪李煥那種程度好嗎... 別這麼..廢', ': 台灣現在本來就是前人去抗爭，一堆人去換來的，現在覺得', ': 習以為常，但當年是得來不易', ': 說真的我會想幫助的港仔真的只有鄉民鄭立，其他都很...', ': 連中國已經消失的地名都在這呢', ': 以前抗爭時，雄中那邊被殺很大......', ': 橋頭事件、美麗島、一直到太陽花 (王金平不動警察驅離)', ': 都有在地高雄人的影子；不然退求其次找波羅地海三國歷史', ': 愛沙尼亞、立陶宛、拉脫維亞。這三國被蘇聯家暴半世紀..', ': http://i.imgur.com/6bWq4ji.jpg', ': 香港人現在遇到的高壓，跟台灣當年都還完全不能比', ': 香港那只是開始 在解放軍還沒動手前的空隙', ': 就我所知，港仔用通訊APP聯繫,他們也要躲掉CCP監聽監控', ': CCP電訊解放軍查他們手機真的是無孔不入的', ': 港仔移民來台灣就是台灣人，還光復啥小？台灣又不是中', ': 共的', ': 對了 ~台灣還要防止金馬變成公民投票(俄吞烏)併吞模式', ': 所以Chenglap說這個磚屋其實並不堅固,不是豪小的', ': 有錢要一群人來住當台灣人好說，搞自治區去找別的地方吧', ': fuxk you  有人同意讓你在台灣成立新香港了嗎??????????', ': 港仔到底哪裡以為台灣可以當作永久避難地? 這裡是前線耶', ': 港仔真的得寸進尺ㄟ  有種就讓台灣人看清楚港仔的嘴臉', ': 所以我覺得3Q當初講的那個讓香港人來台灣當兵某方面蠻實', ': 用的XD 你連兵都不當要怎麼跟台灣站一起', ': 先開放屏東縣給香港人移民，保證不會被黑道打死，屏東人是', ': 台灣最美麗的風景', ': 港仔來台灣當消波塊吧', ': 王爺慈悲！', ': 請參考我[創作] 香港搬到東港 大鵬灣似香江維多利亞港灣', ': 高鐵南延平東就有正當性', ': 高鐵南延屏東，接收兩百萬港人，升格台灣第七都，兩全其美', ': 存好心 說好話 做好事  許好願  共好大願', ': 哈哈哈! 這群港燦果然夠無恥', ': 這人的嘴臉真的噁心xD', ': 哈囉 第一個是香港不是國家 第二個是要在台灣重蓋高樓住', ': 鳥籠居講廣東話自以為是英國人嗎？之前一直以香港是領袖', ': 先鋒自居 硬是把台灣降格為跟香港一樣的地區 現在講話好', ': 像台灣沒有住人沒有政權一樣 只能說這麼高姿態不愧香港', ': 人', ': 覺青還每天擠他的書店 果然誰舉著大旗就會跟著走', ': 甲賽 自私港仔']"
4,[創作] 香港搬到東港 大鵬灣似香江維多利亞港灣,6/21,"[': 假傳神旨，誰不傳傳你一個批踢踢發廢文的', ': 別鬧了，東港的腹地不大耶', ': 你當我們東港人塑膠做的？', ': 存好心 說好話 做好事  許好願  共好大願', ': 王爺慈悲！']"
5,[討論] 為啥香港人沒辦法像高雄人一樣兇起來?,6/21,"[': 香港人過太爽', ': 英領時期爽上天', ': 高雄人可沒有', ': 豬去狗來氣PUPU', ': 南部猴子多', ': 我們高雄人真的很棒呢', ': 沒有。我記得香港人回歸之前不是滿多人期待的嘛', ': 可能好日子過太久，以為中共真的可信吧', ': 香港被支那人滲透', ': 97回歸還沒被滲透', ': 大給愛歹起來~~~~（破音', ': 2008那個是台灣嗎，因為扁的頹勢跟馬九當紅有關八', ': 台灣人也是一堆看到中國眼前的好處 不考慮十年後就脫', ': 離不了中國 中國就開始為所欲為 歷史一定會不斷重演', ': 瞭解。', ': 很好笑的是胡錦濤時期，差點把民進黨滅了  反倒習包子', ': 讓民進黨整個生龍活虎起來XDDDDDDD 哈哈廢物維尼哈哈', ': 總加速師你當塑膠？', ': 因為當時的中山大學已經是被逼到不行，中央才勉強下來設', ': 立的了', ': @MVP  還有這個典故喔...', ': 我知道的是 :當地很多高雄仕紳都捐錢出來當作獎學金', ': 協助培育人才', ': 是的，你去查，最早的交通大學本來是要在高雄復學，但是', ': 後來被改去北部，後來又拖了很久，才弄個中山要來應付，', ': 當然被瞪啊，台灣經濟起飛時期，工業原料都靠高雄供應，', ': 沒當場罵幹你娘就要感恩了', ': 哈 ~很符合KMT大小眼的作風XDDDDDD', ': 你也可以順便google 台積電 飛利浦 高雄，國民黨的下來沒', ': 被圍起來打真的要偷笑了', ': OK ~', ': 國民黨跟共匪好像沒什麼可比性吧', ': 本來就玩假的，上街還有休假的', ': 中國主義完全是香港人一手構建的 什麼龍的傳人之類']"
6,[討論] 香港人是不是當初抗爭路線就錯誤了,6/21,"[': 你自己躲在安全地方靠美軍保護，講著費拉不堪的言', ': 論', ': 台灣人稅收多少貢獻給米國軍售^^', ': 所以獨立不流血根本就是笑話']"
7,[黑特] 香港廢青 是不是得寸進尺??,6/21,"[': 如果香港人移民台灣拿到身份證 就有參政權', ': 不怕被滲透嘛', ': 至於香港人要建政綱 是他們自由 不違法就行', ': 香港人很搞事 又自以爲是', ': 香港人來台灣沒那麼好生存低薪很多人就受不了', ': 香港人在台灣 考慮自己創業吧 當領薪的會很難受', ': 沒關係，一封鎖，港獨台獨一起處理', ': 討厭香港人', ': 反共就ok']"
8,[討論] 要割哪一塊地給香港比較好？,6/21,"[': 苗栗', ': 推「香港村」吸移民 韓國瑜：歡迎來高雄', ': https://udn.com/news/story/7327/4407425', ': 之前有個港人講要設立特區', ': 竹苗花蓮', ': 中永和啊 炒房炒翻天', ': 找到了http://bit.ly/2YERKJW', ': 林場左逃兵好棒棒', ': 台北萬華大同', ': 東沙島啊', ': 美國四處破壞放出病毒真的偉大', ': 南屏 綠到出汁 肯定最挺港仔', ': t7962451323支持香港西藏新疆獨立', ': 台灣有550萬的支那仔可以送過去', ': 港仔可以送300萬過來', ': 高雄吧，反正台灣垃圾不嫌多。', ': 苗栗啊 勢利港仔搭配精打細算客家人根本絕配', ': 外傘頂洲', ': 苗栗', ': 金門 馬祖', ': 台北啊，讓台北特首來管', ': 港仔習慣住鳥籠 就台北了', ': 金門+馬祖，大筆資金流入可促進當地繁榮，香港人十分熟悉', ': 島嶼發展', ': 剛剛才發現香港有1100平方公里，金門竟然比澎湖大?', ': 釣魚台', ': 我是認為金門人的思考模式跟香港人比較近，就去金門守', ': 護台灣島吧', ': 民主聖地 台南', ': 整個香港特區面積 臺灣就彰化縣跟香港最接近 彰化縣的', ': 面積是1075', ': 高雄香港村啊！', ': 可以用比較寬鬆的條件讓他們來但是不能給他投票權', ': 高雄 在高雄光復香港', ': 社子島啊，人民有錢', ': 討厭香港人，搶台灣人工作', ': 平常最愛噴支那人的綠蟑仔突然愛護起支那國民真噁', ': 香港人居然要求台灣設一個特區給他們?  臉皮太厚了吧', ': 苗栗啊 救救苗栗國', ': 最後還是會吵要投票權，不給就是反人權，跟越南子二代一樣', ': 跟客家人、原住民一樣，最後都會聯合外省國民黨，九族共和', ': 金門王早就看穿了，港仔很多也是滿人權貴後代=外省老貴族', ': 貴氣難養，受不了被低等支那共匪種強暴', ': 釣魚台 記得辦比賽', ': 台灣這座島上的人啊~~過去四百年的歷史就是族群鬥爭史', ': 未來四百年依然重踏輪迴，族群鬥爭爭地盤、爭資源、黑政治', ': 佛說要經過八百年，所有人才會融合成台灣人，繼續鬥到死吧', ': 太子超愛看蠢人鬥來鬥去，哈哈哈哈哈！', ': 超有趣', ': 死不用怕，信太子就好，靈魂安五營，當太子的天兵，死亦生', ': 再投胎繼續鬥四百年，等四百年你就知道我的真面目了', ': 苗栗，花蓮首選', ': 反ˋ正早就是化外之地', ': 桃園青埔', ': 苗栗真的蠻適合的', ': 內地南投', ': 新疆啦，中國解放軍幫忙運送', ': 金門吧', ': 苗栗+1', ': 苗栗、花蓮，這兩個國中國很適合', ': 高雄人口500萬的機會來了', ': 金馬、苗栗、花東、南投 o.o', ': 只要認同台灣 歡迎來當港裔台灣人', ': 去死就好', ': 綠島', ': 釣魚台', ': 柯P家', ': [創作] 中國香港 搬到 台灣東港  溫王爺慈悲！', ': 叫港仔把他們騷底的女婊全部拿出來給我們幹幾輪在說', ': 很多選前最挺香港的817們 把家裡廁所分一些位置吧']"
9,[新聞]蓬佩奧楊潔篪夏威夷會面 涉及台灣香港新疆,6/18,"[': 台灣不過是一隻筆', ': 一樓好氣', "": 楊潔篪跟央視口中的'人類公敵'見面，不會有事嗎？""]"
10,Re: [新聞] 快訊／蔡英文力挺香港人：陸委會主責提出,6/18,"[': 最好她會看你文章', ': 專案 辦公室 專案小組 XDD', ': 總算肯動了', ': 蘋果都有六篇專題了', ': 因為吃屎柯韓糞碰到DPP沒馬上做就罵 TMD就沒有deadline', ': 的一句話是怎樣啦', ': 那不是柯韓粉 是2毛', ': 大推特推', ': 主席晚上吃啥', ': 轉錄內容 沒40字心得 小心被檢舉', ': 主席嘴巴說減肥，可是照片每天都很U', ': 你可以下通牒台股兩萬點嗎?', ': 我想看更多貓貓 你可以幫我轉達一下ㄇ 敗偷', ': 快下通碟說我一定中樂透', ': 阿邊！拿有很油！', ': 阿摸，豬席晚扇吃空氣盪是有ㄘ下午茶', ': 快下通牒讓我能娶到周子瑜', ': https://i.imgur.com/vt3RrIh.png 轉錄內容都是不計入的', ': 愛力克濕叔叔，你ㄉ女神不是我嗎（摔手機', ': 外遇被發現 QQ 南瓜南瓜我愛你', ': 搞什摸！', ': 等實質成績做了再說，不需要文宣治國。']"
11,Re: [黑特] 陸委會要公布香港人道救援計畫了,6/18,"[': 不會又是另一個少子化辦公室吧?', ': 又是辦公室', ': 滿滿酬庸感', ': 一堆肥貓準備上工', ': 這其實是吸光香港的高階人才', ': 日本現在也差不多在這樣搞啦  歡迎香港金融人才去', ': 剩下走不了的  繼續跟中共攬炒  大家一起爛', ': 中共那麼想要香港  我就弄成一坨大便給你', ': 做不做都會被嘴 習慣了']"
12,[討論] 香港人跟黑人哪一個比較苦？,6/17,[]
13,[轉錄] 台視節目企劃FB分享香港記者屍體照來由,6/16,"[': 你的發文沒有參考價值', ': ..', ': 先解釋幾千市民無理由死亡和幾千學生被送去新疆的狀', ': 況吧', ': 好巧喔，前有黃雀後也有黃雀，多種角度耶', ': 我前面抓包一次後面再抓一次！讓這些擺拍無所遁形！', ': 說真的到時候不要怪蔡英文發動麥卡錫,針對媒體圈的', ': 赤匪及學術圈內共黨同情者的清勦行動,對保衛資產階', ': 級社會很有價值', ': 你的發文沒有台灣價值。']"
14,[黑特] 今日的香港梁凱晴議員,6/16,"[': 我還以為是邊板', ': 真的辛苦', ': 好想....幫他擦汗', ': 沒有人跟他說他這樣很危險嗎=.=', ':', ': 柯糞：垃圾蟑螂綠共走狗', ': 乳摸  放開你的手', ': 大']"
15,Re: [討論] 林夕身為香港人 應該不是看顏色說話吧？,6/14,"[': 張大春也太垃圾', ': 噁心+1', ': 推！', ': 提供這段歷史', ': 原來李永得還有這種八卦 我只知道他當客委會主委的時', ': 候 官方臉書一堆ㄎㄧㄤ圖', ': 真八卦', ': 張大春是體制得益者 那個時代 他很難跳脫自身狹隘視野', ': 張大春本來就這種水準，我一點都不意外', ': 撒謊的信徒~~沒人寫信給上校XXD']"
16,Re: [討論] 香港人何不問波羅的海小國怎忍撐過蘇聯?,6/14,"[': 政黑一堆智障不意外，說道波海遊行連這都不知道XDDDDDD', ': 一堆歷史書都不念，長大當記者等級的', ': 科技是蘇聯人的，三小國只要出勞力跟接受工業污染即', ': 可']"
17,Re: [討論] 林夕身為香港人 應該不是看顏色說話吧？,6/14,"[': 他當然是故意寫的', ': 王丹更討人厭', ': 以前很常追他的文，後來愈看愈覺得只是雙標老覺青', ': 王丹的腐化是指收了誰的錢嗎 還是哪個部份？', ': 真的假的? 她寫的喔?', ': 沒有菸抽的日子最初好像是新詩 後來才被譜曲', ': 王丹其實就是年紀大了 喜歡在臉書發發廢文', ': 還真的王丹寫的 沒想到', ': 他那麼討厭中共當然隨便寫啊', ': 學學柴玲 哈佛畢業後 好好賺錢 信信教 人生過得多滋潤', ': 好爛的詞', ': 不像林夕寫的XD', ': 這首歌不可能紅遍全球啦 連中國人自己都不太聽過', ': 王丹之前鬧健保的事情就覺得這人很無言', ': 至少馬來西亞聽過吧 所以黃明志才會拿去改編', ': 應該也是年紀大了 變廢文肥宅了  放棄妄想改變中國', ': 了', ': 馬來西亞又更遙遠了', ': 還有王丹瞎護航陳為廷性騷擾的事情', ': 「不好色才是人格缺陷，並呼籲台灣人別偽善」', ': 好色跟性騷擾差了十萬八千里', ': 王丹可以撐到現在不容易了 跟他年紀差不多的男人 個個都比', ': 他油膩', ': 笑死，如果林夕是故意寫那麼爛，搞不好SHE、潘瑋柏也是故', ': 意唱那麼難聽？', ': 沒辦法 王丹是陳為廷的老師 那時候落井下石也會被罵', ': 吾爾開希比他好', ': 現在的年輕人完全不知道89年的王丹多麼帥氣', ': 對他的印象也只能是個肥宅了...', ': 如果把王丹當時的臉貼到林飛帆臉上 我敢說沒人會因為林飛', ': 帆會被嫉妒拿九萬', ': 會被嫉妒拿九萬-->拿九萬被嫉妒', ': 我不忌妒他拿九萬 我只質疑他黨外罵成這樣', ': DPP什麼都沒改還變本加厲結果他加入組織護航', ': 王丹一直都在阿...', ': 阿扁當時給他錢是幹嘛啊，有內幕嗎', ': 問題是他學運前 跟DPP關係十分密切啊', ': 哈 是沒錯XD', ': 那些中國民運領袖一直都有各方資助 不然怎麼活到現在', ': 我有看到中國人攻擊王丹拿台灣政黨的錢 但是台灣人因此怪', ': 王丹 理由是什麼? 想不懂', ': 除非是郭文貴離開中國拿了一大筆錢吃香喝辣 不然不做工出', ': 來辦活動投書怎麼過日子 連現在郭文貴都要告個基金會G幣', ': 搞不好也是騙錢的噱頭了', ': 告個基金會 -->搞個基金會', ': 學運前民進黨根本還不存在吧', ': 民進黨創黨1986 六四是1989 說起來當時國民黨還是反', ': 共的 不曉得幫過王丹沒有', ': 他是說太陽花學運前林非凡跟民進黨關係密切', ': 喔 如果是講九萬仔的話 還真的很難幫他辯護啊', ': https://i.imgur.com/1vye9h4.jpg', ': 林飛帆學運前就是英派的，然後學運後積極打民進黨', ': 突然就轉彎加入民進黨', ': 令人想到他打民進黨是在賺聲量', ': dpp跟時力兩個地方他選一個 不選時力就只能去dpp了', ': 他學運後就當兵出國唸書 對台灣政壇評論也很少', ': 一直拿著他之前評論DPP的話 所以不能加入DPP 為什麼?', ': 他可以加入ㄚ 我又不是民進黨的人XD', ': 但他打DPP悍將的印象令人深刻 每次看每次都想起', ': 應該是DPP感化他了 善哉善哉', ': 他說話一直都是一針見血 他加入DPP應該是羅文嘉操作的吧', ': 那就是跟時力或其他黨沒有佛緣了', ': 他跟時代力量很密切但一直沒入黨也是厲害', ': 馮光遠都入黨了 結果傷心傷身', ': 沒什麼好執著的', ': 哈 那是他加入後發現沒有話語權XD', ': 當副秘書長又不是發言人.....', ': 去時力也不能保證給發言權', ': 發言權-->話語權 Freddy跟洪的下場都證明了', ': 以他寫詞的功力 真的只能是故意寫爛', ': 林夕有說過後悔寫這首啊 在還沒名字被拿掉之前印象就說了', ': 林夕就是比較標準那種早期沒那麼厭中也不是港獨啊 但雨傘', ': 之後想法開始改變 然後反送中徹底很恨中共跟舔中政客吧', ': 前陣子他有個訪談 看起來不是反送中之後才來台的 好像更早', ': 他說台灣更適合他生活 在香港他不喜歡買珠寶買錶那些', ': 但在台灣他會出去逛街 就生活比較多元吧 香港主持人也說', ': 他變蠻多的 不懂特意黑林夕幹嘛 他又不是1450', ': 早期對大陸有幻想的人很多啦', ': 你說的那個訪談應該是最近的']"
